,Name,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
35,Solomon Alabi,2010-11,22,TOR,NBA,C,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0.0,-0.2,-0.142,,-8.2,0.0,-8.2,-0.1
36,Mark Alarie,1986-87,23,DEN,NBA,PF,64,1110,12.5,.516,.020,.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,,0.7,0.7,1.5,.064,,-2.1,-1.5,-3.6,-0.4
38,Furkan Aldemir,2014-15,23,PHI,NBA,PF,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,.122,,-2.7,2.0,-0.7,0.2
39,Cole Aldrich,2010-11,22,OKC,NBA,C,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,,0.0,0.2,0.2,.066,,-3.4,2.6,-0.8,0.0
40,LaMarcus Aldridge,2006-07,21,POR,NBA,C,63,1392,17.1,.533,.004,.240,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,,2.5,1.0,3.4,.118,,-0.3,-0.6,-0.9,0.4
41,Chuck Aleksinas,1984-85,25,GSW,NBA,C,74,1114,9.1,.509,.003,.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,.019,,-3.9,-2.0,-5.9,-1.1
42,Cliff Alexander,2015-16,20,POR,NBA,PF,8,36,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,.052,,-5.7,-1.3,-7.0,0.0
43,Cory Alexander,1995-96,22,SAS,NBA,PG,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-3.1,-1.6,-4.7,-0.4
44,Courtney Alexander,2000-01,23,TOT,NBA,PG,65,1382,11.6,.484,.080,.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,.027,,-1.8,-2.5,-4.4,-0.8
45,Gary Alexander,1993-94,24,TOT,NBA,PF,11,55,8.6,.529,.000,.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-5.1,-0.7,-5.8,-0.1
46,Joe Alexander,2008-09,22,MIL,NBA,SF,59,716,10.1,.494,.188,.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,,-0.3,0.7,0.4,.030,,-3.4,0.2,-3.3,-0.2
47,Victor Alexander,1991-92,22,GSW,NBA,C,80,1350,13.9,.561,.002,.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,,1.1,1.4,2.5,.090,,-2.2,-0.7,-2.9,-0.3
48,Steve Alford,1987-88,23,DAL,NBA,PG,28,197,11.6,.472,.145,.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,.082,,-2.6,1.8,-0.8,0.1
51,Jarrett Allen,2017-18,19,BRK,NBA,C,54,1024,18.2,.634,.030,.346,11.0,18.7,14.8,6.1,1.1,3.6,14.0,16.8,,2.1,1.1,3.3,.153,,-0.9,1.3,0.4,0.6
52,Jerome Allen,1995-96,23,MIN,NBA,SG,41,362,7.8,.447,.314,.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,,-0.5,0.3,-0.3,-0.033,,-4.4,-1.6,-6.1,-0.4
53,Kadeem Allen,2017-18,25,BOS,NBA,PG,7,27,-1.8,.322,.500,.667,4.1,7.9,6.1,4.9,1.9,0.0,27.9,17.8,,-0.1,0.0,-0.1,-0.146,,-9.9,-0.4,-10.4,-0.1
54,Lavoy Allen,2011-12,22,PHI,NBA,PF,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,.124,,-3.1,1.8,-1.3,0.1
56,Malik Allen,2001-02,23,MIA,NBA,PF,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,,0.2,0.3,0.5,.141,,-2.3,0.9,-1.4,0.0
