,Name,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
580,Rasual Butler,2002-03,23,MIA,NBA,SG,72,1514,9.5,.437,.299,.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,,-1.4,1.4,0.1,.002,,-3.4,-0.4,-3.8,-0.7
581,Dwight Buycks,2013-14,24,TOR,NBA,PG,14,146,7.2,.414,.354,.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,,-0.2,0.2,0.0,-0.009,,-4.8,0.2,-4.5,-0.1
582,Derrick Byars,2011-12,27,SAS,NBA,PF,2,37,14.9,.392,.545,.364,19.0,15.2,17.1,3.7,2.8,0.0,0.0,15.7,,0.1,0.1,0.1,.147,,1.6,-1.1,0.6,0.0
583,Andrew Bynum,2005-06,18,LAL,NBA,C,46,338,7.4,.394,.000,.329,11.9,16.0,13.9,4.1,0.6,5.0,15.3,15.0,,-0.4,0.4,0.1,.007,,-6.3,0.5,-5.8,-0.3
584,Will Bynum,2005-06,23,GSW,NBA,PG,15,162,8.7,.457,.173,.308,2.0,6.3,4.1,19.2,2.2,0.0,19.2,20.1,,-0.2,0.1,-0.1,-0.021,,-4.8,-1.8,-6.6,-0.2
586,Marty Byrnes,1978-79,22,TOT,NBA,SF,79,1264,9.9,.525,,.396,7.7,8.1,7.9,10.4,0.9,0.4,20.7,17.5,,0.2,0.7,0.9,.034,,-2.3,-1.5,-3.7,-0.6
589,Zarko Cabarkapa,2003-04,22,PHO,NBA,PF,49,570,8.4,.461,.162,.269,5.2,14.7,9.9,11.6,0.9,1.7,19.7,21.7,,-0.7,0.3,-0.4,-0.037,,-4.8,-1.7,-6.5,-0.7
591,Bruno Caboclo,2014-15,19,TOR,NBA,SF,8,23,-1.8,.417,.250,.000,5.0,5.0,5.0,0.0,0.0,3.5,25.0,31.5,,-0.1,0.0,-0.1,-0.275,,-12.6,-6.3,-18.9,-0.1
592,Jason Caffey,1995-96,22,CHI,NBA,PF,57,545,7.9,.474,.006,.420,10.9,12.8,11.9,6.3,1.2,1.0,20.0,19.4,,-0.4,0.8,0.4,.038,,-4.6,-0.4,-5.0,-0.4
593,Michael Cage,1984-85,23,LAC,NBA,PF,75,1610,12.5,.582,.000,.344,9.0,17.7,13.5,4.2,1.2,1.1,15.0,13.7,,1.8,1.4,3.2,.096,,-1.1,0.0,-1.1,0.4
595,Nick Calathes,2013-14,24,MEM,NBA,SG,71,1173,12.3,.506,.196,.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,,-0.1,1.6,1.5,.062,,-1.9,0.8,-1.1,0.3
596,Jose Calderon,2005-06,24,TOR,NBA,SG,64,1487,11.4,.495,.138,.295,2.4,9.5,5.8,29.1,1.5,0.2,22.3,14.1,,0.9,0.0,0.9,.029,,-1.8,-2.1,-3.9,-0.7
597,Adrian Caldwell,1989-90,23,HOU,NBA,PF,51,331,9.5,.549,.000,.368,11.7,22.9,17.4,2.8,1.6,3.2,26.6,14.8,,-0.3,0.7,0.4,.061,,-5.6,1.3,-4.3,-0.2
599,Joe Caldwell,1964-65,23,DET,NBA,SF,66,1543,13.0,.408,,.271,,,,10.8,,,,,,-1.6,1.9,0.3,.008,,,,,
600,Kentavious Caldwell-Pope,2013-14,20,DET,NBA,SG,80,1583,9.4,.483,.402,.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,,1.0,0.8,1.8,.055,,-1.2,-0.8,-2.1,0.0
602,Corky Calhoun,1972-73,22,PHO,NBA,SF,82,2025,7.5,.501,,.213,,,8.1,4.6,,,,,,1.1,0.9,2.1,.049,,,,,
603,Demetrius Calip,1991-92,22,LAL,NBA,PG,7,58,1.8,.285,.278,.167,1.9,8.0,4.9,28.2,0.9,0.0,20.6,18.3,,-0.2,0.0,-0.2,-0.134,,-7.6,-3.7,-11.3,-0.1
605,Rick Calloway,1990-91,24,SAC,NBA,SG,64,678,6.6,.452,.010,.411,4.1,9.1,6.5,13.4,1.6,0.7,18.4,17.9,,-0.8,0.4,-0.3,-0.025,,-5.6,-1.2,-6.8,-0.8
607,Mack Calvin,1969-70,22,LAS,ABA,PG,84,2955,15.6,.532,.024,.613,,,4.4,22.3,,,16.4,19.9,,4.9,2.8,7.7,.124,,,,,
608,Dexter Cambridge,1992-93,23,DAL,NBA,SF,53,885,12.1,.520,.013,.317,9.9,10.6,10.2,10.4,1.3,0.4,15.1,19.3,,0.4,0.0,0.4,.022,,-1.3,-2.0,-3.3,-0.3
609,Marcus Camby,1996-97,22,TOR,NBA,C,63,1897,17.8,.523,.018,.339,7.9,16.7,12.2,9.6,1.8,5.5,13.0,24.3,,1.4,2.3,3.7,.095,,-1.8,1.5,-0.3,0.8
610,Elden Campbell,1990-91,22,LAL,NBA,PF,52,380,14.5,.498,.000,.398,12.8,16.4,14.7,3.8,1.5,5.9,10.0,18.4,,0.4,0.7,1.1,.135,,-2.6,1.9,-0.7,0.1
611,Tony Campbell,1984-85,22,DET,NBA,SF,56,625,10.3,.540,.004,.267,6.6,8.4,7.4,5.1,2.0,0.3,19.1,22.2,,-0.2,0.6,0.4,.031,,-2.9,-1.3,-4.3,-0.4
612,Isaiah Canaan,2013-14,22,HOU,NBA,PG,22,252,9.5,.506,.632,.333,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,,0.0,0.2,0.2,.031,,-1.4,-2.1,-3.4,-0.1
613,Larry Cannon,1969-70,22,MMF,ABA,SG,57,1503,10.7,.441,.045,.352,,,4.3,14.1,,,14.0,21.2,,-0.9,1.0,0.1,.004,,,,,
614,Clint Capela,2014-15,20,HOU,NBA,C,12,90,12.1,.409,.000,.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,,-0.2,0.2,0.0,.019,,-8.8,1.0,-7.8,-0.1
615,Derrick Caracter,2010-11,22,LAL,NBA,C,41,215,10.0,.532,.000,.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,,0.0,0.3,0.3,.057,,-4.5,-0.3,-4.9,-0.2
617,Brian Cardinal,2000-01,23,DET,NBA,PF,15,126,4.7,.398,.161,.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,,-0.2,0.2,0.0,-0.009,,-6.0,0.5,-5.5,-0.1
620,Geno Carlisle,2004-05,28,POR,NBA,SG,6,16,18.1,.709,.000,2.000,7.5,0.0,3.6,10.3,0.0,0.0,15.1,19.1,,0.1,0.0,0.1,.173,,1.3,-5.5,-4.2,0.0
621,Rick Carlisle,1984-85,25,BOS,NBA,SG,38,179,7.2,.450,.030,.254,5.2,7.7,6.5,17.5,0.8,0.0,20.3,21.3,,-0.2,0.1,-0.1,-0.021,,-5.0,-2.7,-7.7,-0.3
626,Rodney Carney,2006-07,22,PHI,NBA,SF,67,1169,11.4,.514,.184,.222,4.0,9.1,6.6,3.8,1.7,1.5,9.1,18.7,,0.4,1.0,1.3,.055,,-2.1,-1.3,-3.4,-0.4
628,Antoine Carr,1984-85,23,ATL,NBA,PF,62,1195,13.0,.578,.016,.341,7.3,13.8,10.6,9.5,1.2,3.7,20.0,18.6,,0.6,1.5,2.1,.084,,-1.5,1.8,0.3,0.7
629,Austin Carr,1971-72,23,CLE,NBA,SG,43,1539,14.5,.465,,.219,,,4.7,15.3,,,,,,0.0,1.0,1.0,.030,,,,,
630,Chris Carr,1995-96,21,PHO,NBA,SG,60,590,10.5,.493,.194,.276,5.4,14.5,10.0,11.4,0.9,0.6,14.1,21.4,,-0.1,0.3,0.3,.021,,-3.1,-2.5,-5.6,-0.5
631,Cory Carr,1998-99,23,CHI,NBA,SG,42,624,5.1,.372,.139,.148,1.4,8.2,4.6,20.2,1.8,0.9,16.7,20.8,,-1.6,0.4,-1.2,-0.089,,-6.8,-2.0,-8.8,-1.1
632,Kenny Carr,1977-78,22,LAL,NBA,PF,52,733,9.2,.476,,.281,7.7,20.9,14.5,4.7,1.1,1.0,20.8,22.8,,-0.9,0.9,0.0,-0.001,,-5.2,-1.9,-7.0,-0.9
633,M.L. Carr,1975-76,25,SSL,ABA,SF,74,2174,15.3,.517,.031,.262,7.6,12.9,10.2,13.7,2.7,1.1,15.6,18.2,,2.1,2.4,4.5,.099,,0.4,1.1,1.6,1.9
635,Bob Carrington,1977-78,24,TOT,NBA,SG,72,1653,9.7,.479,,.290,4.0,6.4,5.1,9.7,1.7,0.7,15.1,17.6,,0.2,1.1,1.3,.038,,-2.1,-0.7,-2.8,-0.3
636,DeMarre Carroll,2009-10,23,MEM,NBA,SF,71,795,8.5,.426,.027,.239,7.8,14.3,11.0,5.9,1.8,0.9,8.9,14.8,,-0.1,0.6,0.5,.031,,-3.4,-0.7,-4.1,-0.4
637,Joe Barry Carroll,1980-81,22,GSW,NBA,C,82,2919,16.4,.534,.002,.351,10.3,18.7,14.4,5.8,0.8,2.3,14.4,23.0,,3.7,2.0,5.7,.094,,-0.1,-0.8,-0.9,0.8
638,Matt Carroll,2003-04,23,TOT,NBA,SG,16,70,3.8,.510,.188,.375,1.6,8.2,4.9,4.6,0.8,0.0,24.4,16.5,,-0.1,0.0,0.0,-0.033,,-6.2,-2.7,-8.9,-0.1
639,Jimmy Carruth,1996-97,27,MIL,NBA,PF,4,21,9.7,.727,.000,.333,0.0,23.2,11.7,0.0,0.0,7.1,22.5,9.8,,0.0,0.0,0.0,.090,,-6.5,-0.4,-6.9,0.0
640,Anthony Carter,1999-00,24,MIA,NBA,PG,79,1859,11.0,.442,.045,.244,3.1,9.0,6.2,31.7,2.7,0.2,23.5,18.5,,-1.0,2.4,1.4,.036,,-3.2,0.1,-3.1,-0.5
641,Butch Carter,1980-81,22,LAL,NBA,SF,54,672,10.7,.521,.040,.385,5.8,4.7,5.2,9.9,1.6,0.1,14.8,20.2,,0.5,0.5,0.9,.067,,-1.9,-2.5,-4.4,-0.4
643,George Carter,1967-68,24,DET,NBA,SF,1,5,21.3,.615,,.500,,,,26.7,,,,,,0.0,0.0,0.0,.230,,,,,
644,Howard Carter,1983-84,22,DEN,NBA,SG,55,688,12.0,.499,.060,.193,5.7,7.5,6.6,13.2,1.2,0.3,10.9,21.1,,0.3,0.1,0.4,.028,,-1.2,-3.3,-4.5,-0.4
646,Maurice Carter,2003-04,27,TOT,NBA,SG,10,110,5.8,.479,.314,.571,2.0,9.5,5.7,5.8,0.0,0.0,17.0,21.7,,-0.1,0.0,0.0,-0.014,,-5.4,-4.6,-10.0,-0.2
647,Reggie Carter,1980-81,23,NYK,NBA,SG,60,536,8.8,.404,.017,.385,6.2,8.6,7.4,18.3,2.0,0.2,15.4,18.7,,-0.4,0.5,0.1,.010,,-3.7,-1.0,-4.7,-0.4
648,Ron Carter,1978-79,22,LAL,NBA,SG,46,332,9.3,.487,,.435,7.3,7.4,7.4,9.4,2.3,1.1,21.3,22.6,,-0.3,0.3,0.0,-0.002,,-3.9,-1.1,-5.1,-0.3
649,Vince Carter,1998-99,22,TOR,NBA,SF,50,1760,19.6,.516,.086,.350,6.1,12.6,9.3,17.2,1.7,3.3,11.1,25.6,,3.6,1.4,5.0,.136,,2.1,-0.2,1.9,1.7
650,Michael Carter-Williams,2013-14,22,PHI,NBA,PG,70,2414,15.5,.480,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,,-0.8,2.1,1.3,.026,,-0.6,0.4,-0.2,1.1
651,Bill Cartwright,1979-80,22,NYK,NBA,C,82,3150,17.9,.608,.000,.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,,7.7,2.1,9.7,.148,,1.5,-0.9,0.6,2.1
653,Alex Caruso,2017-18,23,LAL,NBA,PG,24,309,7.7,.475,.333,.200,2.8,7.9,5.3,19.4,1.9,1.6,24.3,11.8,,-0.1,0.3,0.2,.030,,-4.0,0.0,-4.0,-0.2
656,Sam Cassell,1993-94,24,HOU,NBA,PG,66,1122,13.1,.506,.227,.276,2.6,10.2,6.6,25.8,2.7,0.4,17.8,20.9,,0.4,1.8,2.2,.093,,-1.5,0.2,-1.3,0.2
657,Omri Casspi,2009-10,21,SAC,NBA,SF,77,1931,13.0,.529,.302,.259,4.4,16.5,10.4,7.7,1.4,0.6,11.6,19.4,,1.1,1.4,2.5,.063,,-1.0,-1.1,-2.1,-0.1
658,Harvey Catchings,1974-75,23,PHI,NBA,C,37,528,12.1,.576,,.338,9.3,20.1,14.7,5.2,0.9,6.0,,,,0.3,0.8,1.2,.107,,-3.5,3.6,0.1,0.3
659,Terry Catledge,1985-86,22,PHI,NBA,PF,64,1092,12.6,.502,.009,.323,11.0,16.9,13.9,2.8,1.4,0.4,12.3,20.7,,0.6,1.1,1.7,.074,,-2.4,-2.5,-4.9,-0.8
661,Kelvin Cato,1997-98,23,POR,NBA,C,74,1007,13.3,.496,.013,.546,10.9,17.9,14.6,3.6,1.5,6.8,13.4,14.7,,0.7,2.0,2.7,.129,,-3.5,3.2,-0.3,0.4
662,Bobby Cattage,1981-82,23,UTA,NBA,PF,49,337,10.5,.490,.015,.304,6.9,16.6,11.6,2.8,1.0,0.0,10.5,20.3,,0.1,0.1,0.2,.028,,-4.0,-4.4,-8.4,-0.5
663,Willie Cauley-Stein,2015-16,22,SAC,NBA,C,66,1412,15.3,.588,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,,2.4,1.4,3.8,.130,,-0.8,1.5,0.7,1.0
664,Duane Causwell,1990-91,22,SAC,NBA,C,76,1719,13.0,.541,.000,.400,9.1,16.9,12.9,6.1,1.4,5.5,16.5,14.8,,0.6,2.2,2.8,.079,,-3.0,2.8,-0.2,0.8
665,Tyler Cavanaugh,2017-18,23,ATL,NBA,PF,30,413,14.3,.603,.612,.147,9.3,18.0,13.6,9.2,1.1,0.6,8.2,14.3,,0.9,0.3,1.2,.134,,1.6,-1.2,0.4,0.3
666,Ron Cavenall,1984-85,25,NYK,NBA,C,53,653,4.1,.378,.000,.453,9.2,20.7,14.7,3.5,0.9,3.9,30.4,9.4,,-1.0,0.7,-0.2,-0.016,,-6.8,2.4,-4.4,-0.4
667,Cedric Ceballos,1990-91,21,PHO,NBA,SF,63,730,17.8,.527,.014,.396,12.1,10.4,11.2,7.7,1.4,0.4,12.3,31.3,,0.6,0.7,1.3,.085,,-0.5,-3.5,-4.0,-0.4
668,John Celestand,1999-00,22,LAL,NBA,PG,16,185,2.7,.388,.200,.133,0.6,5.7,3.2,15.2,1.9,0.0,25.1,15.1,,-0.4,0.2,-0.1,-0.038,,-6.6,-0.8,-7.4,-0.3
670,Lionel Chalmers,2004-05,24,LAC,NBA,PG,36,433,6.5,.409,.392,.192,1.1,7.3,4.3,18.6,1.6,0.0,15.0,17.0,,-0.5,0.2,-0.2,-0.025,,-3.6,-2.7,-6.3,-0.5
671,Mario Chalmers,2008-09,22,MIA,NBA,PG,82,2626,13.3,.548,.470,.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,,2.1,3.1,5.2,.095,,0.4,0.3,0.8,1.8
672,Bill Chamberlain,1972-73,23,TOT,ABA,SF,50,665,8.6,.425,.028,.209,8.7,8.3,8.5,15.1,,,15.8,21.4,,-1.0,1.1,0.1,.004,,,,,
674,Jerry Chambers,1966-67,23,LAL,NBA,SF,69,1015,12.1,.481,,.188,,,,5.8,,,,,,0.7,0.7,1.4,.064,,,,,
675,Tom Chambers,1981-82,22,SDC,NBA,PF,81,2682,15.0,.553,.002,.434,9.1,16.0,12.5,7.9,1.0,1.0,14.9,22.4,,2.9,0.4,3.3,.059,,0.3,-1.7,-1.4,0.4
676,Mike Champion,1988-89,24,SEA,NBA,SF,2,4,-43.7,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.8,,-0.1,0.0,-0.1,-0.952,,-31.3,-9.6,-40.8,0.0
677,Tyson Chandler,2001-02,19,CHI,NBA,C,71,1389,13.0,.543,.000,.730,9.3,19.8,14.4,6.5,1.1,5.0,19.8,16.6,,0.4,1.4,1.8,.062,,-3.6,1.5,-2.0,0.0
678,Wilson Chandler,2007-08,20,NYK,NBA,SF,35,685,11.7,.480,.124,.223,6.1,15.3,10.6,8.1,1.1,1.8,9.2,19.2,,0.2,0.4,0.5,.038,,-2.6,-0.9,-3.5,-0.3
679,Don Chaney,1968-69,22,BOS,NBA,SG,20,209,6.3,.328,,.177,,,,12.4,,,,,,-0.9,0.4,-0.5,-0.107,,,,,
681,Rex Chapman,1988-89,21,CHH,NBA,SG,75,2219,12.6,.467,.150,.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,,-0.7,0.4,-0.2,-0.005,,-0.7,-2.5,-3.2,-0.7
685,Lorenzo Charles,1985-86,22,ATL,NBA,SF,36,273,11.5,.587,.000,.409,5.3,10.5,7.9,4.2,0.4,1.3,14.8,18.2,,0.3,0.2,0.5,.086,,-1.9,-1.6,-3.6,-0.1
686,Calbert Cheaney,1993-94,22,WSB,NBA,SG,65,1604,14.0,.508,.033,.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,,1.0,0.2,1.2,.035,,-0.5,-2.3,-2.8,-0.3
687,Maurice Cheeks,1978-79,22,PHI,NBA,PG,82,2409,12.6,.541,,.245,2.8,7.9,5.5,22.8,3.2,0.3,23.3,13.4,,1.3,3.6,4.9,.097,,-0.8,1.5,0.7,1.6
688,Phil Chenier,1971-72,21,BAL,NBA,SG,81,2481,10.9,.457,,.252,,,5.1,11.5,,,,,,-0.5,1.9,1.4,.027,,,,,
689,Will Cherry,2014-15,23,CLE,NBA,PG,8,69,5.8,.347,.474,.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,,-0.1,0.1,0.0,-0.021,,-4.4,0.7,-3.7,0.0
690,Derrick Chievous,1988-89,21,HOU,NBA,SF,81,1539,11.6,.506,.038,.385,8.1,9.9,9.0,7.4,1.5,0.4,15.5,22.9,,0.0,1.6,1.6,.050,,-2.5,-1.4,-3.9,-0.7
691,Pete Chilcutt,1991-92,23,SAC,NBA,PF,69,817,11.2,.478,.008,.112,10.3,14.4,12.3,6.6,1.9,1.2,13.5,15.5,,0.0,0.7,0.7,.042,,-3.4,-0.5,-3.9,-0.4
692,Josh Childress,2004-05,21,ATL,NBA,SG,80,2376,15.2,.543,.087,.360,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,,3.7,0.9,4.6,.093,,0.3,-0.3,0.0,1.2
693,Randolph Childress,1995-96,23,POR,NBA,PG,28,250,6.7,.468,.595,.342,0.5,8.2,4.3,19.1,1.7,0.3,23.6,20.8,,-0.3,0.3,0.0,-0.009,,-4.2,-1.7,-5.9,-0.2
694,Chris Childs,1994-95,27,NJN,NBA,PG,53,1021,11.2,.495,.448,.262,1.5,5.9,3.7,33.8,2.1,0.2,19.6,16.7,,0.5,0.8,1.2,.058,,-1.2,-2.9,-4.0,-0.5
696,Jim Chones,1972-73,23,NYA,ABA,PF,82,2153,11.8,.533,.001,.312,7.0,20.3,13.8,6.7,,,19.6,20.7,,2.4,0.2,2.6,.058,,,,,
697,Marquese Chriss,2016-17,19,PHO,NBA,PF,82,1743,12.3,.529,.354,.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,,0.3,1.5,1.8,.050,,-1.6,0.0,-1.6,0.2
700,Bob Christian,1969-70,23,TOT,ABA,C,2,11,-11.5,.333,.000,.000,,,12.7,0.0,,,50.0,20.4,,0.0,0.0,0.0,-0.061,,,,,
701,Doug Christie,1992-93,22,LAL,NBA,SG,23,332,12.4,.526,.113,.623,8.2,9.4,8.8,22.8,3.3,0.9,27.0,23.8,,-0.3,0.4,0.1,.012,,-2.1,0.4,-1.7,0.0
702,Dionte Christmas,2013-14,27,PHO,NBA,SF,31,198,11.1,.489,.500,.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,,0.2,0.1,0.3,.083,,-1.1,-2.5,-3.6,-0.1
703,Rakeem Christmas,2015-16,24,IND,NBA,PF,1,6,32.0,1.000,.000,.000,18.3,0.0,9.1,0.0,0.0,0.0,0.0,14.7,,0.0,0.0,0.0,.343,,9.7,-6.6,3.2,0.0
704,Semaj Christon,2016-17,24,OKC,NBA,PG,64,973,5.7,.387,.283,.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,,-0.7,0.8,0.1,.006,,-5.1,-1.2,-6.3,-1.1
705,Patrick Christopher,2014-15,26,UTA,NBA,SG,4,29,-2.6,.250,.333,.000,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,,-0.1,0.0,-0.1,-0.150,,-10.6,-5.7,-16.3,-0.1
707,Robert Churchwell,1995-96,23,GSW,NBA,SG,4,20,1.2,.375,.000,.000,0.0,17.4,8.6,8.0,0.0,0.0,20.0,21.8,,-0.1,0.0,-0.1,-0.166,,-11.2,-3.7,-14.9,-0.1
709,Carlos Clark,1983-84,23,BOS,NBA,SG,31,127,12.1,.451,.038,.346,6.5,8.6,7.6,17.7,3.0,0.4,16.7,23.3,,-0.1,0.2,0.1,.048,,-3.0,-0.3,-3.3,0.0
710,Earl Clark,2009-10,22,PHO,NBA,PF,51,383,8.5,.420,.033,.238,5.6,12.3,9.1,7.8,0.9,2.4,12.1,21.9,,-0.5,0.2,-0.3,-0.033,,-5.8,-1.1,-6.9,-0.5
711,Ian Clark,2013-14,22,UTA,NBA,SG,23,172,9.2,.485,.463,.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,,-0.2,0.1,-0.1,-0.025,,-2.6,-2.1,-4.7,-0.1
712,Keon Clark,1998-99,23,DEN,NBA,C,28,409,11.3,.483,.013,.463,9.9,17.5,13.6,4.0,1.3,5.4,17.9,13.0,,0.1,0.2,0.2,.029,,-3.8,1.2,-2.6,-0.1
714,Coty Clarke,2015-16,23,BOS,NBA,SF,3,6,23.9,.750,.500,.000,0.0,18.0,8.8,0.0,0.0,0.0,20.0,35.5,,0.0,0.0,0.0,.025,,0.2,-9.7,-9.5,0.0
715,Jordan Clarkson,2014-15,22,LAL,NBA,PG,59,1476,16.9,.528,.203,.265,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,,2.0,0.4,2.4,.078,,1.4,-1.7,-0.3,0.6
716,Gian Clavell,2017-18,24,DAL,NBA,SG,7,64,7.5,.530,.833,.111,1.7,10.9,6.1,6.8,1.6,0.0,9.6,14.9,,0.0,0.0,0.1,.042,,-1.6,-1.9,-3.5,0.0
717,Victor Claver,2012-13,24,POR,NBA,SF,49,812,7.0,.462,.460,.159,4.4,12.8,8.5,7.9,1.7,1.1,17.5,13.9,,-0.6,0.5,-0.1,-0.005,,-3.3,0.0,-3.3,-0.3
719,Charles Claxton,1995-96,25,BOS,NBA,C,3,7,0.2,.347,.000,1.000,31.2,0.0,16.0,0.0,0.0,10.0,25.8,23.9,,0.0,0.0,0.0,-0.179,,-8.5,-2.6,-11.1,0.0
720,Speedy Claxton,2001-02,23,PHI,NBA,PG,67,1528,12.6,.469,.073,.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,.087,,-1.6,1.0,-0.7,0.5
721,Jim Cleamons,1971-72,22,LAL,NBA,PG,38,201,13.9,.423,,.360,,,8.6,21.3,,,,,,-0.2,0.3,0.1,.022,,,,,
722,Mateen Cleaves,2000-01,23,DET,NBA,PG,78,1268,9.0,.458,.043,.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,,-1.3,1.2,-0.1,-0.006,,-4.1,-1.0,-5.2,-1.0
724,Antonius Cleveland,2017-18,23,DAL,NBA,SG,13,81,5.1,.317,.071,.286,2.7,11.4,6.9,3.3,3.7,4.5,11.3,10.0,,-0.1,0.1,0.0,-0.005,,-7.5,4.5,-3.0,0.0
727,Keith Closs,1997-98,21,LAC,NBA,C,58,740,14.0,.482,.000,.372,9.6,16.3,12.9,4.2,0.8,7.3,13.6,16.7,,0.1,0.5,0.6,.041,,-4.2,1.0,-3.3,-0.2
731,Richard Coffey,1990-91,25,MIN,NBA,SF,52,320,7.9,.402,.013,.293,14.3,14.4,14.3,1.3,1.0,0.8,5.6,12.1,,0.1,0.1,0.2,.037,,-4.2,-3.1,-7.3,-0.4
732,Fred Cofield,1985-86,24,NYK,NBA,PG,45,469,7.9,.428,.082,.109,1.4,10.1,5.5,26.6,2.1,0.4,20.3,21.6,,-0.9,0.6,-0.4,-0.039,,-5.0,-0.8,-5.8,-0.5
733,John Coker,1995-96,24,PHO,NBA,C,5,11,37.3,.800,.000,.000,21.4,0.0,10.5,21.2,0.0,6.8,0.0,20.2,,0.1,0.0,0.1,.360,,13.6,-0.8,12.8,0.0
734,Norris Cole,2011-12,23,MIA,NBA,PG,65,1260,7.9,.452,.169,.189,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,,-1.4,1.4,0.0,.000,,-4.1,-1.8,-5.9,-1.2
735,Ben Coleman,1986-87,25,NJN,NBA,C,68,1029,13.6,.617,.003,.387,10.9,20.6,15.7,5.3,1.5,1.8,20.4,18.0,,0.9,1.1,2.0,.093,,-1.2,0.0,-1.2,0.2
736,Derrick Coleman,1990-91,23,NJN,NBA,PF,74,2602,17.6,.527,.035,.402,10.4,20.5,15.3,9.8,1.3,2.2,14.4,23.3,,2.4,3.4,5.8,.108,,-0.2,0.7,0.5,1.7
739,Norris Coleman,1987-88,26,LAC,NBA,SF,29,431,6.6,.370,.010,.188,8.6,11.5,10.0,4.6,1.2,0.8,7.2,21.0,,-0.8,0.4,-0.4,-0.046,,-6.3,-2.0,-8.3,-0.7
740,Bimbo Coles,1990-91,22,MIA,NBA,PG,82,1355,10.4,.461,.087,.242,4.5,8.1,6.3,24.1,2.3,0.5,18.4,16.0,,-0.1,1.2,1.1,.038,,-2.6,-0.3,-3.0,-0.3
741,Jason Collier,2000-01,23,HOU,NBA,C,23,222,7.4,.435,.014,.338,6.4,12.7,9.6,4.4,0.5,0.9,11.9,19.2,,-0.1,0.1,0.0,-0.001,,-5.2,-2.8,-8.0,-0.3
742,Art Collins,1980-81,26,ATL,NBA,SG,29,395,4.3,.409,.020,.364,5.4,6.5,6.0,8.6,1.3,0.2,21.8,15.4,,-0.6,0.2,-0.4,-0.054,,-5.1,-1.2,-6.3,-0.4
743,Don Collins,1980-81,22,TOT,NBA,SF,81,1845,14.5,.500,.007,.335,7.8,8.5,8.1,15.7,2.7,0.8,15.8,24.6,,0.6,2.0,2.6,.068,,-0.1,0.3,0.2,1.0
744,Doug Collins,1973-74,22,PHI,NBA,SG,25,436,10.5,.441,,.371,1.5,9.0,5.1,13.5,1.3,0.2,,,,-0.5,0.2,-0.3,-0.028,,-3.6,-2.8,-6.3,-0.5
745,James Collins,1997-98,24,LAC,NBA,SG,23,103,15.3,.482,.364,.255,7.7,7.8,7.7,5.4,3.0,2.0,11.6,29.8,,0.0,0.0,0.0,.008,,-1.1,-4.1,-5.2,-0.1
746,Jarron Collins,2001-02,23,UTA,NBA,C,70,1440,11.5,.532,.003,.528,11.5,13.3,12.4,6.6,1.1,1.2,11.7,15.0,,2.3,1.0,3.3,.111,,-0.5,-0.8,-1.3,0.2
747,Jason Collins,2001-02,23,NJN,NBA,C,77,1407,10.7,.500,.007,.590,10.5,13.6,12.0,8.4,1.1,2.4,17.1,13.5,,1.0,2.0,3.0,.104,,-2.5,1.6,-0.9,0.4
749,John Collins,2017-18,20,ATL,NBA,PF,56,1265,19.5,.621,.048,.346,13.3,22.1,17.7,7.1,1.3,4.5,13.5,18.4,,2.8,1.5,4.2,.161,,0.1,1.5,1.6,1.2
