,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
397,Tom Boswell,Career,,,NBA,,366,0,7046,5.6,10.5,.533,0.1,0.2,.545,5.6,10.5,.532,3.2,4.4,.724,3.5,5.3,8.7,3.0,0.7,0.6,3.0,5.6,14.4
398,Ruben Boumtje-Boumtje,Career,,,NBA,,44,1,276,1.8,5.0,.368,0.0,0.0,,1.8,5.0,.368,2.0,3.5,.556,2.9,4.6,7.4,0.8,0.5,2.2,1.8,5.2,5.6
400,Cal Bowdler,Career,,,NBA,,142,0,1383,4.2,10.5,.404,0.1,0.3,.182,4.2,10.2,.411,2.5,3.3,.768,2.3,4.7,7.1,0.8,1.1,1.2,1.1,4.0,11.0
401,Bruce Bowen,Career,,,NBA,,873,644,24052,2.9,7.1,.409,1.2,3.1,.393,1.7,4.0,.421,0.9,1.5,.575,0.7,2.9,3.6,1.6,1.1,0.5,1.0,2.9,7.9
402,Ryan Bowen,Career,,,NBA,,507,85,6502,3.0,6.6,.456,0.1,0.4,.206,2.9,6.2,.472,1.2,1.7,.693,2.8,3.1,5.9,1.4,1.8,0.8,0.9,4.2,7.3
404,Anthony Bowie,Career,,,NBA,,461,87,8349,5.4,11.3,.475,0.3,0.9,.318,5.1,10.4,.488,1.7,2.0,.824,1.3,3.1,4.4,3.6,1.2,0.5,2.1,3.1,12.7
405,Sam Bowie,Career,,,NBA,,511,349,14098,5.4,12.0,.452,0.1,0.3,.302,5.3,11.7,.456,3.3,4.4,.748,3.0,6.8,9.8,2.7,0.7,2.3,2.5,4.0,14.2
407,Ira Bowman,Career,,,NBA,,17,0,68,3.7,5.8,.636,0.0,0.5,.000,3.7,5.3,.700,0.5,1.1,.500,0.5,2.1,2.6,4.8,1.6,0.0,1.1,1.6,7.9
409,Donnie Boyce,Career,,,NBA,,30,2,195,5.5,15.9,.349,1.1,4.4,.250,4.4,11.4,.387,2.4,4.8,.500,2.2,2.4,4.6,3.0,2.4,0.9,4.1,3.5,14.6
413,Earl Boykins,Career,,,NBA,,652,34,12964,5.8,13.8,.417,1.1,3.1,.348,4.7,10.8,.437,3.5,4.0,.876,0.8,1.7,2.4,5.8,1.1,0.1,2.1,1.8,16.1
