,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
822,Chris Crawford,Career,,,NBA,,252,92,3985,5.5,12.6,.437,0.6,1.8,.347,4.9,10.8,.453,3.3,4.0,.824,1.9,3.1,4.9,1.4,0.9,0.7,2.1,4.4,14.9
824,Jamal Crawford,Career,,,NBA,,1246,433,37374,6.3,15.3,.410,2.1,5.9,.349,4.2,9.4,.449,3.4,4.0,.862,0.4,2.3,2.7,4.1,1.1,0.2,2.3,1.8,18.0
825,Joe Crawford,Career,,,NBA,,2,0,23,4.7,15.7,.300,1.6,6.3,.250,3.1,9.4,.333,3.1,3.1,1.000,1.6,4.7,6.3,1.6,1.6,0.0,0.0,3.1,14.1
826,Jordan Crawford,Career,,,NBA,,278,99,6827,6.8,16.4,.411,1.7,5.4,.316,5.0,11.0,.458,2.8,3.4,.825,0.8,2.9,3.7,4.6,1.0,0.1,2.8,2.3,18.0
828,Ron Crevier,Career,,,NBA,,3,0,4,0.0,27.0,.000,0.0,0.0,,0.0,27.0,.000,0.0,18.0,.000,9.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0
830,Joe Crispin,Career,,,NBA,,21,0,156,6.0,15.7,.382,3.5,9.0,.385,2.5,6.7,.379,2.8,3.0,.923,0.5,2.1,2.5,6.0,1.2,0.0,2.3,2.3,18.2
831,Charlie Criss,Career,,,NBA,,418,22,8960,5.3,12.2,.432,0.1,0.6,.179,5.2,11.8,.441,3.6,4.3,.831,0.5,1.9,2.4,5.4,1.5,0.1,2.6,2.4,14.2
833,Winston Crite,Career,,,NBA,,31,0,264,4.6,9.7,.479,0.0,0.0,,4.6,9.7,.479,2.6,3.4,.760,3.8,5.0,8.9,2.0,0.7,1.1,3.5,5.9,11.9
834,Javaris Crittenton,Career,,,NBA,,113,10,1853,4.4,10.1,.442,0.2,1.0,.231,4.2,9.1,.466,2.4,3.8,.638,1.6,3.7,5.4,3.9,1.1,0.2,2.7,2.9,11.6
837,Geoff Crompton,Career,,,NBA,,82,1,495,2.9,7.9,.370,0.0,0.0,,2.9,7.9,.370,1.4,3.1,.442,3.4,6.7,10.1,2.0,0.7,1.7,3.1,6.6,7.2
838,Terry Crosby,Career,,,NBA,,4,,28,2.6,5.1,.500,0.0,0.0,,2.6,5.1,.500,2.6,2.6,1.000,0.0,1.3,1.3,9.0,0.0,0.0,6.4,5.1,7.7
839,Austin Croshere,Career,,,NBA,,659,88,11480,4.7,11.5,.407,1.3,4.0,.340,3.3,7.5,.443,3.3,3.9,.861,2.2,6.1,8.3,2.0,0.8,0.7,2.1,3.4,14.0
840,Jeff Cross,Career,,,NBA,,21,0,128,1.7,6.8,.250,0.0,0.0,,1.7,6.8,.250,3.9,7.0,.560,2.5,5.9,8.4,0.3,0.6,0.8,1.7,10.7,7.3
842,Russell Cross,Career,,,NBA,,45,0,354,6.5,11.4,.571,0.0,0.0,,6.5,11.4,.571,3.9,9.3,.418,3.6,4.8,8.3,2.2,1.2,0.7,1.9,5.9,16.9
844,John Crotty,Career,,,NBA,,477,6,5795,3.9,9.0,.431,0.9,2.3,.384,3.0,6.7,.448,3.2,3.8,.837,0.8,2.3,3.1,6.2,1.1,0.1,2.7,3.7,11.8
847,Corey Crowder,Career,,,NBA,,58,0,357,4.5,12.3,.369,1.3,3.4,.382,3.2,8.9,.364,1.7,2.4,.708,1.7,2.7,4.4,1.8,0.8,0.2,1.5,3.6,12.1
848,Jae Crowder,Career,,,NBA,,443,233,10443,4.8,11.0,.432,1.8,5.3,.343,3.0,5.7,.514,2.3,2.9,.791,1.1,4.7,5.7,2.1,1.5,0.5,1.2,3.0,13.7
850,Pat Cummings,Career,,,NBA,,683,300,14516,6.8,13.7,.497,0.0,0.0,.000,6.8,13.6,.498,2.6,3.6,.737,2.9,6.6,9.5,2.0,0.9,0.4,2.9,5.1,16.2
851,Terry Cummings,Career,,,NBA,,1183,815,33898,8.5,17.7,.484,0.0,0.2,.295,8.5,17.5,.486,3.5,5.0,.706,3.4,5.8,9.2,2.3,1.3,0.7,2.3,4.1,20.7
852,Vonteego Cummings,Career,,,NBA,,199,23,3789,5.0,12.9,.383,1.0,3.2,.321,3.9,9.7,.404,2.2,3.0,.726,1.1,2.4,3.5,5.1,1.7,0.3,2.5,3.7,13.1
853,Billy Cunningham,Career,,,TOT,,770,,26844,8.2,18.2,.452,0.1,0.5,.263,8.2,18.1,.453,5.4,7.4,.730,2.2,7.9,10.7,4.4,1.8,0.5,4.1,3.8,21.9
854,Dante Cunningham,Career,,,NBA,,636,173,13653,4.4,9.3,.469,0.4,1.4,.329,3.9,7.9,.493,0.9,1.4,.643,1.9,4.5,6.4,1.2,1.1,0.8,0.8,3.0,10.1
856,Jared Cunningham,Career,,,NBA,,84,3,605,3.6,10.3,.347,1.1,3.7,.306,2.4,6.6,.369,3.5,5.1,.674,0.4,3.0,3.3,2.3,1.2,0.1,1.9,4.3,11.7
857,William Cunningham,Career,,,NBA,,23,8,201,1.3,4.8,.259,0.0,0.0,,1.3,4.8,.259,0.0,0.4,.000,3.0,3.8,6.8,0.4,0.5,2.0,0.9,7.2,2.5
858,Radisav Curcic,Career,,,NBA,,20,0,166,3.5,8.9,.390,0.0,0.0,,3.5,8.9,.390,5.6,7.8,.722,3.7,6.9,10.6,2.6,1.5,0.4,1.7,6.5,12.6
860,Earl Cureton,Career,,,NBA,,674,131,12420,4.5,9.5,.473,0.0,0.0,.000,4.5,9.4,.476,1.5,2.9,.538,3.4,5.7,9.2,2.0,1.0,1.0,2.1,4.4,10.5
861,Bill Curley,Career,,,NBA,,147,11,1614,3.5,7.9,.444,0.0,0.2,.222,3.5,7.7,.449,1.7,2.3,.743,2.8,3.7,6.5,1.3,1.4,1.0,1.7,7.7,8.8
863,Dell Curry,Career,,,NBA,,1083,99,23549,7.8,17.0,.457,1.9,4.7,.402,5.9,12.3,.478,1.9,2.3,.843,0.9,3.1,4.0,2.9,1.5,0.4,2.0,2.7,19.4
864,Eddy Curry,Career,,,NBA,,527,411,13109,7.1,13.0,.545,0.0,0.0,1.000,7.1,13.0,.544,4.6,7.1,.642,2.6,4.9,7.5,0.8,0.4,1.1,3.2,4.3,18.7
865,JamesOn Curry,Career,,,NBA,,1,0,0,,,,,,,,,,,,,,,,,,,,,
866,Michael Curry,Career,,,NBA,,667,269,13208,3.0,6.7,.447,0.2,0.7,.298,2.8,6.0,.465,2.0,2.4,.825,0.5,2.3,2.8,2.2,0.9,0.2,1.3,4.2,8.1
867,Seth Curry,Career,,,NBA,,118,51,2742,5.8,12.2,.473,2.5,5.7,.432,3.3,6.5,.508,1.7,2.0,.844,0.4,2.7,3.2,3.4,1.4,0.1,1.7,2.2,15.8
868,Stephen Curry,Career,,,NBA,,622,616,21466,8.4,17.6,.477,3.6,8.2,.436,4.8,9.4,.512,3.8,4.2,.903,0.7,3.9,4.6,7.1,1.9,0.2,3.3,2.6,24.1
869,Rastko Cvetkovic,Career,,,NBA,,14,0,48,3.7,12.0,.313,0.0,0.7,.000,3.7,11.3,.333,0.0,3.0,.000,3.0,5.2,8.2,2.3,1.5,0.7,2.3,8.2,7.5
870,Mike D'Antoni,Career,,,TOT,,180,,2656,3.5,8.6,.414,0.0,0.2,.000,3.5,8.5,.416,1.1,1.5,.735,0.8,2.8,3.6,4.9,2.9,0.6,2.1,5.1,8.2
873,Quintin Dailey,Career,,,NBA,,528,140,12170,8.7,19.1,.454,0.1,0.4,.158,8.6,18.7,.461,4.7,6.0,.779,1.2,2.6,3.9,3.5,1.5,0.2,3.0,3.6,22.1
874,Samuel Dalembert,Career,,,NBA,,886,694,21646,4.7,9.0,.521,0.0,0.0,.083,4.7,8.9,.522,2.0,2.8,.706,3.8,7.7,11.5,0.8,0.7,2.6,2.1,4.3,11.3
876,Erick Dampier,Career,,,NBA,,987,771,24003,4.2,8.4,.498,0.0,0.0,.125,4.2,8.4,.499,2.6,4.2,.626,4.1,6.4,10.5,1.2,0.5,2.1,2.2,4.3,11.0
877,Louie Dampier,Career,,,TOT,,960,,32201,6.7,15.1,.444,1.0,2.9,.358,5.8,12.6,.461,2.8,3.4,.820,0.6,2.1,2.8,5.2,1.1,0.4,2.3,2.1,17.1
878,Bob Dandridge,Career,,,NBA,,839,0,29502,7.9,16.3,.484,0.0,0.2,.167,7.9,16.2,.484,3.2,4.1,.780,1.8,4.6,7.0,3.5,1.3,0.6,3.0,3.6,19.0
879,Antonio Daniels,Career,,,NBA,,872,220,19671,4.2,9.4,.444,0.7,2.1,.311,3.5,7.2,.483,3.2,4.0,.793,0.4,2.6,3.0,5.4,1.0,0.2,1.7,1.7,12.1
880,Erik Daniels,Career,,,NBA,,21,0,72,3.0,9.0,.333,0.5,1.0,.500,2.5,8.0,.313,0.0,0.0,,3.5,5.5,9.0,2.0,1.0,0.0,3.0,3.5,6.5
881,Lloyd Daniels,Career,,,NBA,,200,29,3549,5.6,13.9,.403,1.5,4.9,.316,4.1,9.0,.450,1.6,2.1,.743,1.9,2.6,4.5,3.2,1.0,0.6,2.1,3.0,14.3
882,Marquis Daniels,Career,,,NBA,,548,146,11707,5.4,12.1,.451,0.3,1.3,.235,5.1,10.7,.478,2.1,2.9,.721,1.6,3.2,4.8,3.0,1.6,0.4,2.0,2.7,13.3
883,Mel Daniels,Career,,,TOT,,639,,22466,7.5,16.0,.468,0.0,0.1,.088,7.5,15.9,.469,3.9,5.9,.657,4.6,10.7,15.3,1.8,0.8,1.8,3.1,3.7,18.9
884,Troy Daniels,Career,,,NBA,,226,8,3378,5.6,14.0,.400,4.2,10.3,.403,1.4,3.6,.391,1.1,1.4,.829,0.5,2.5,2.9,1.4,0.6,0.1,1.4,3.1,16.5
885,Sasha Danilovic,Career,,,NBA,,75,60,2331,5.1,11.6,.439,1.8,4.8,.379,3.3,6.8,.482,2.7,3.4,.789,0.6,2.2,2.8,2.3,1.1,0.2,2.4,3.2,14.8
886,Adrian Dantley,Career,,,NBA,,955,546,34151,8.6,15.9,.540,0.0,0.1,.171,8.6,15.9,.541,7.2,8.8,.818,2.3,3.4,5.8,3.0,1.0,0.2,2.9,2.7,24.4
890,Yinka Dare,Career,,,NBA,,110,25,1002,3.1,7.8,.396,0.0,0.0,,3.1,7.8,.396,2.2,3.8,.570,3.6,6.5,10.1,0.1,0.4,2.5,3.4,6.4,8.4
892,Rick Darnell,Career,,,ABA,,11,,120,3.3,9.0,.367,0.0,0.0,,3.3,9.0,.367,1.2,2.1,.571,3.6,7.2,10.8,2.7,1.5,0.9,4.2,9.0,7.8
894,Gigi Datome,Career,,,NBA,,55,1,447,6.2,15.0,.414,2.0,6.4,.316,4.2,8.6,.486,0.7,0.9,.818,1.4,4.7,6.0,1.6,0.6,0.6,1.6,2.8,15.1
895,Brad Daugherty,Career,,,NBA,,548,546,20029,6.9,12.9,.532,0.0,0.0,.143,6.9,12.9,.533,4.9,6.6,.747,2.2,7.2,9.4,3.6,0.8,0.7,2.7,2.6,18.7
897,Kornel David,Career,,,NBA,,109,11,1585,4.6,10.2,.446,0.0,0.1,.000,4.6,10.2,.450,3.3,4.1,.817,2.5,4.4,7.0,1.5,1.0,0.5,2.1,3.9,12.5
898,Jermareo Davidson,Career,,,NBA,,52,2,433,5.7,13.3,.425,0.0,0.0,,5.7,13.3,.425,2.2,3.7,.578,2.6,5.4,8.0,1.2,0.7,1.5,1.8,4.8,13.5
900,Brandon Davies,Career,,,NBA,,78,6,998,3.9,9.6,.411,0.4,1.6,.227,3.6,8.0,.448,2.1,3.2,.644,2.7,4.2,6.9,2.1,1.5,0.5,2.3,5.4,10.3
901,Anthony Davis,Career,,,NBA,,390,385,13549,9.1,17.5,.517,0.3,1.0,.307,8.7,16.5,.530,5.6,7.1,.793,2.6,8.0,10.7,1.9,1.4,2.4,1.9,2.5,24.0
902,Antonio Davis,Career,,,NBA,,903,524,26084,4.4,9.8,.448,0.0,0.0,.087,4.4,9.8,.449,3.7,5.1,.727,3.2,6.1,9.3,1.4,0.6,1.2,1.9,3.5,12.5
904,Baron Davis,Career,,,NBA,,835,692,28592,6.2,15.0,.409,1.7,5.2,.320,4.5,9.8,.456,2.9,4.1,.711,1.0,3.0,4.0,7.6,1.9,0.5,2.9,3.0,16.9
905,Ben Davis,Career,,,NBA,,40,0,154,4.9,13.8,.356,0.0,0.0,,4.9,13.8,.356,2.8,6.1,.462,7.0,5.4,12.4,1.2,1.4,0.5,1.6,5.8,12.6
908,Brad Davis,Career,,,NBA,,961,396,22302,4.8,9.4,.510,0.4,1.4,.321,4.4,8.0,.542,2.7,3.2,.828,0.5,2.3,2.8,7.6,1.2,0.2,2.2,3.5,12.7
909,Brian Davis,Career,,,NBA,,68,3,374,3.9,12.1,.317,0.1,0.3,.333,3.8,11.8,.317,4.8,6.5,.735,2.0,3.3,5.3,2.1,1.5,0.4,1.8,3.3,12.6
910,Charles Davis,Career,,,NBA,,415,32,5050,6.9,15.3,.451,0.1,0.8,.170,6.8,14.5,.466,1.8,2.5,.737,2.7,4.5,7.2,2.2,0.9,0.5,2.4,4.5,15.8
912,Dale Davis,Career,,,NBA,,1094,863,29606,4.4,8.2,.530,0.0,0.0,.000,4.4,8.2,.530,1.9,3.3,.562,4.0,6.4,10.5,1.2,0.8,1.5,1.3,3.5,10.6
913,Deyonta Davis,Career,,,NBA,,78,2,794,5.8,9.3,.617,0.0,0.0,,5.8,9.3,.617,1.6,2.5,.655,2.9,6.7,9.6,1.0,0.6,2.1,1.4,5.2,13.1
915,Ed Davis,Career,,,NBA,,543,94,11211,4.8,8.6,.565,0.0,0.0,.000,4.8,8.6,.565,2.0,3.4,.577,4.0,7.3,11.3,1.4,0.9,1.6,1.4,4.3,11.6
916,Emanual Davis,Career,,,NBA,,226,62,3934,3.7,9.3,.394,1.4,4.1,.352,2.3,5.3,.426,1.3,1.6,.787,0.7,3.3,4.0,3.6,1.5,0.3,2.4,3.1,10.1
917,Glen Davis,Career,,,NBA,,514,121,10865,5.3,12.0,.447,0.0,0.2,.182,5.3,11.8,.451,2.9,4.1,.700,2.4,5.0,7.4,1.5,1.2,0.6,1.7,4.1,13.6
918,Harry Davis,Career,,,NBA,,44,,424,6.1,14.0,.436,0.0,0.0,,6.1,14.0,.436,2.6,3.8,.689,2.5,3.7,6.1,1.4,1.2,0.7,2.2,6.3,14.9
919,Hubert Davis,Career,,,NBA,,685,149,15143,5.0,10.9,.458,1.7,3.9,.441,3.3,7.0,.468,1.5,1.8,.837,0.5,2.0,2.5,2.8,0.7,0.1,1.5,2.4,13.3
921,Johnny Davis,Career,,,NBA,,750,212,21200,6.3,14.0,.448,0.1,0.5,.176,6.2,13.7,.454,3.9,4.7,.821,1.0,1.6,2.6,5.7,1.2,0.2,2.5,2.5,16.5
922,Josh Davis,Career,,,NBA,,67,6,498,4.0,10.8,.373,1.7,5.1,.329,2.4,5.8,.413,1.5,2.1,.724,3.5,4.8,8.3,1.4,1.2,0.4,1.5,5.1,11.3
923,Lee Davis,Career,,,ABA,,453,,7805,7.0,14.4,.482,0.0,0.2,.189,6.9,14.3,.486,2.2,3.7,.607,3.8,6.4,10.1,2.0,0.7,0.8,1.9,4.9,16.2
924,Mark Davis,Career,,,NBA,,33,0,258,6.8,14.2,.480,0.1,1.4,.100,6.7,12.8,.522,3.9,4.7,.824,2.2,2.9,5.2,2.0,1.8,0.7,1.7,5.4,17.7
925,Mark Davis,Career,,,NBA,,230,37,3681,4.6,10.5,.442,0.3,1.1,.246,4.4,9.4,.465,2.8,4.3,.655,2.8,4.0,6.8,2.9,2.0,0.7,3.2,4.7,12.3
927,Mickey Davis,Career,,,TOT,,309,,3837,5.7,12.5,.455,0.0,0.6,.000,5.7,12.4,.456,3.1,3.8,.835,2.6,5.3,7.9,2.9,1.0,0.2,4.9,3.6,14.5
928,Mike Davis,Career,,,TOT,,242,,4851,6.9,16.3,.424,0.4,1.5,.261,6.9,16.2,.426,4.2,5.5,.765,1.4,1.3,3.8,3.1,,,2.3,4.9,18.1
929,Mike Davis,Career,,,NBA,,8,0,28,5.1,12.9,.400,0.0,0.0,,5.1,12.9,.400,7.7,12.9,.600,3.9,9.0,12.9,0.0,0.0,5.1,0.0,5.1,18.0
930,Monti Davis,Career,,,NBA,,2,,10,3.6,18.0,.200,0.0,0.0,,3.6,18.0,.200,3.6,18.0,.200,7.2,7.2,14.4,0.0,0.0,3.6,0.0,0.0,10.8
931,Paul Davis,Career,,,NBA,,82,2,702,4.5,11.2,.402,0.0,0.1,.000,4.5,11.2,.404,2.1,2.9,.732,3.8,4.3,8.1,1.6,1.1,0.8,1.5,5.4,11.1
934,Ricky Davis,Career,,,NBA,,736,344,21927,6.2,13.8,.446,1.0,2.6,.361,5.2,11.2,.466,3.0,3.9,.781,0.9,3.3,4.2,4.0,1.2,0.3,2.6,2.3,16.3
935,Ron Davis,Career,,,NBA,,78,0,951,5.9,14.2,.420,0.1,0.3,.250,5.9,13.9,.423,3.8,6.7,.571,2.1,3.1,5.3,2.0,1.6,0.4,2.7,4.4,15.8
936,Terry Davis,Career,,,NBA,,480,275,10369,4.2,8.8,.472,0.0,0.1,.158,4.2,8.8,.475,2.3,3.8,.605,3.8,6.2,10.0,0.9,0.6,0.5,1.8,4.1,10.6
938,Walter Davis,Career,,,NBA,,1033,373,28859,10.1,19.8,.511,0.2,0.9,.272,9.9,19.1,.521,3.9,4.6,.851,1.1,2.7,3.8,4.8,1.6,0.2,3.2,3.1,24.4
939,Warren Davis,Career,,,ABA,,447,,13090,5.6,11.6,.480,0.0,0.0,.125,5.6,11.5,.481,3.9,5.6,.691,3.8,7.5,11.3,2.6,,,3.0,4.1,15.0
941,Andre Dawkins,Career,,,NBA,,4,0,22,1.6,9.8,.167,1.6,9.8,.167,0.0,0.0,,0.0,0.0,,0.0,3.3,3.3,1.6,0.0,0.0,1.6,4.9,4.9
942,Darryl Dawkins,Career,,,NBA,,726,232,17235,7.3,12.7,.572,0.0,0.0,.133,7.3,12.7,.573,3.7,5.4,.685,2.3,6.9,9.3,1.9,0.7,2.1,3.6,5.8,18.2
943,Johnny Dawkins,Career,,,NBA,,541,303,14859,5.7,12.5,.456,0.4,1.3,.330,5.3,11.2,.471,2.6,3.1,.857,0.8,2.4,3.2,7.3,1.5,0.1,2.7,2.0,14.5
944,Paul Dawkins,Career,,,NBA,,57,,776,6.5,13.9,.470,0.0,0.2,.200,6.5,13.7,.475,1.5,2.2,.688,1.9,3.9,5.8,3.6,1.5,0.4,3.5,5.2,14.7
945,Branden Dawson,Career,,,NBA,,6,0,29,2.5,6.2,.400,0.0,0.0,,2.5,6.2,.400,1.2,1.2,1.000,2.5,2.5,5.0,0.0,0.0,1.2,0.0,2.5,6.2
946,Eric Dawson,Career,,,NBA,,4,0,39,6.5,11.1,.583,0.0,0.0,,6.5,11.1,.583,0.9,1.8,.500,4.6,4.6,9.2,0.0,0.9,1.8,2.8,5.5,13.8
948,Tony Dawson,Career,,,NBA,,6,0,30,8.4,18.0,.467,2.4,4.8,.500,6.0,13.2,.455,1.2,1.2,1.000,2.4,3.6,6.0,1.2,0.0,0.0,3.6,4.8,20.4
949,Todd Day,Career,,,NBA,,483,197,12214,6.0,14.8,.406,1.7,4.9,.345,4.3,9.9,.435,3.8,5.1,.739,1.7,3.2,4.9,2.1,1.6,0.9,2.1,4.0,17.4
950,Austin Daye,Career,,,NBA,,293,29,4132,4.9,12.3,.402,1.6,4.7,.351,3.3,7.6,.433,1.7,2.2,.778,1.2,5.4,6.7,1.8,1.0,1.0,1.8,4.2,13.3
951,Darren Daye,Career,,,NBA,,328,22,5208,5.9,12.0,.491,0.0,0.1,.118,5.9,11.8,.494,3.6,5.3,.681,2.2,3.6,5.8,4.6,1.3,0.4,3.0,4.2,15.4
952,Nando De Colo,Career,,,NBA,,119,9,1414,4.3,10.0,.429,1.2,3.4,.363,3.1,6.6,.463,1.7,2.0,.835,0.9,4.4,5.4,5.2,1.6,0.3,3.0,3.4,11.5
953,Greg Deane,Career,,,NBA,,7,,48,1.5,8.2,.182,0.7,0.7,1.000,0.7,7.5,.100,3.7,5.2,.714,1.5,3.0,4.5,4.5,0.0,0.0,2.3,2.3,7.5
956,Andrew DeClercq,Career,,,NBA,,587,253,9847,4.1,8.1,.507,0.0,0.0,.000,4.1,8.1,.507,2.1,3.4,.621,3.7,5.3,9.1,1.2,1.4,1.1,2.0,6.5,10.3
957,Dewayne Dedmon,Career,,,NBA,,268,106,4310,4.7,8.4,.563,0.3,0.8,.385,4.4,7.6,.581,1.9,2.7,.687,3.6,8.7,12.3,1.1,0.9,1.8,1.9,5.2,11.6
960,Terry Dehere,Career,,,NBA,,402,65,7305,5.3,13.0,.411,1.6,4.3,.378,3.7,8.7,.427,3.7,4.7,.779,0.7,2.2,2.9,5.1,1.0,0.2,3.0,4.1,15.9
962,Bryce Dejean-Jones,Career,,,NBA,,14,11,279,3.6,8.9,.406,1.5,4.1,.375,2.1,4.8,.432,1.4,2.7,.524,1.0,5.2,6.2,1.9,1.3,0.3,1.4,2.2,10.2
963,Sam Dekker,Career,,,NBA,,136,3,2165,5.1,10.8,.471,1.1,4.1,.282,3.9,6.7,.587,1.1,1.9,.607,2.1,5.0,7.1,1.8,1.0,0.5,1.1,2.3,12.4
964,Vinny Del Negro,Career,,,NBA,,771,370,19211,5.4,11.3,.475,0.5,1.3,.359,4.9,10.0,.489,2.0,2.4,.840,0.5,2.9,3.4,4.7,1.1,0.1,1.5,2.7,13.2
965,Malcolm Delaney,Career,,,NBA,,126,5,2247,4.0,10.6,.377,1.1,3.7,.301,2.9,7.0,.416,2.4,2.9,.809,0.3,3.3,3.6,5.7,1.2,0.1,2.6,3.1,11.5
966,Bison Dele,Career,,,NBA,,413,204,10004,6.6,12.6,.528,0.0,0.1,.143,6.6,12.5,.529,3.0,4.4,.691,3.1,6.2,9.2,1.6,1.2,1.3,3.0,4.7,16.3
967,Carlos Delfino,Career,,,NBA,,507,170,11580,4.6,11.4,.401,2.1,5.8,.365,2.5,5.6,.438,1.5,2.0,.758,0.9,4.8,5.6,2.8,1.4,0.3,1.6,2.6,12.8
968,Tony Delk,Career,,,NBA,,545,103,11702,5.8,14.1,.408,1.5,4.2,.343,4.3,9.9,.436,2.3,2.9,.769,1.1,3.1,4.2,3.2,1.4,0.2,1.8,2.7,15.2
969,Matthew Dellavedova,Career,,,NBA,,328,88,7206,3.5,9.0,.391,1.7,4.3,.388,1.9,4.7,.394,1.1,1.4,.839,0.7,2.4,3.1,6.1,0.8,0.1,2.1,3.4,9.8
971,Fennis Dembo,Career,,,NBA,,31,0,74,6.8,20.4,.333,0.0,1.9,.000,6.8,18.5,.368,3.9,4.9,.800,3.9,7.3,11.2,2.4,0.5,0.0,3.4,7.3,17.5
972,Larry Demic,Career,,,NBA,,206,0,3192,4.5,9.8,.459,0.0,0.0,.000,4.5,9.7,.461,2.1,3.5,.580,3.8,5.3,9.1,1.2,0.8,0.6,2.8,5.9,11.0
973,Dell Demps,Career,,,NBA,,20,0,108,7.0,14.0,.500,0.3,1.0,.333,6.7,13.0,.513,5.3,7.0,.762,0.7,2.3,3.0,3.0,2.0,0.3,4.3,4.0,19.7
975,Luol Deng,Career,,,NBA,,880,826,30549,6.0,13.1,.455,0.8,2.3,.332,5.2,10.8,.481,2.8,3.7,.770,1.7,4.7,6.4,2.4,1.0,0.5,1.7,1.7,15.6
976,Kenny Dennard,Career,,,NBA,,95,3,1244,3.2,7.4,.429,0.1,0.3,.300,3.1,7.1,.434,1.4,2.1,.644,3.0,5.3,8.3,2.7,2.1,0.5,2.0,5.5,7.8
978,Justin Dentmon,Career,,,NBA,,8,0,95,3.8,11.4,.333,0.8,5.3,.143,3.0,6.1,.500,1.5,2.3,.667,0.0,3.0,3.0,3.8,0.8,0.0,2.7,3.8,9.9
979,Randy Denton,Career,,,TOT,,413,,10184,7.2,15.2,.473,0.0,0.1,.214,7.2,15.2,.474,2.4,3.1,.779,4.2,8.3,12.5,1.9,0.8,0.8,2.2,3.7,16.8
980,Joe DePre,Career,,,ABA,,119,,2281,5.2,11.0,.477,0.0,0.2,.200,5.2,10.8,.481,2.6,3.6,.735,1.2,2.4,3.6,2.9,,,3.2,5.4,13.1
982,DeMar DeRozan,Career,,,NBA,,656,644,22350,7.4,16.5,.448,0.5,1.7,.288,6.9,14.8,.467,5.5,6.7,.828,0.8,3.5,4.3,3.2,1.0,0.3,2.1,2.3,20.8
986,Derrick Dial,Career,,,NBA,,82,0,687,5.4,14.5,.372,0.4,2.2,.190,5.0,12.3,.404,2.0,3.0,.672,2.4,4.6,7.0,3.3,1.1,0.6,1.8,2.7,13.3
987,Cheick Diallo,Career,,,NBA,,50,0,488,6.3,12.5,.509,0.0,0.0,,6.3,12.5,.509,2.8,3.8,.745,3.1,9.3,12.4,1.0,0.7,1.3,1.3,4.1,15.5
988,Boris Diaw,Career,,,NBA,,1064,564,28768,4.8,9.6,.493,0.6,1.8,.336,4.2,7.9,.529,1.3,1.8,.717,1.6,4.2,5.8,4.6,0.8,0.6,2.4,2.8,11.4
989,Yakhouba Diawara,Career,,,NBA,,187,56,2614,3.2,9.0,.357,1.7,5.6,.301,1.5,3.4,.448,0.9,1.4,.650,1.1,2.5,3.6,1.7,0.7,0.2,1.0,3.8,9.0
990,Guillermo Diaz,Career,,,NBA,,6,0,18,2.0,8.0,.250,0.0,2.0,.000,2.0,6.0,.333,6.0,10.0,.600,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0
991,Dan Dickau,Career,,,NBA,,300,57,4617,4.7,11.8,.401,1.4,4.1,.341,3.3,7.7,.432,2.7,3.3,.831,0.6,2.6,3.2,5.9,1.3,0.1,2.5,4.0,13.6
992,Kaniel Dickens,Career,,,NBA,,19,0,85,3.4,8.5,.400,1.3,3.8,.333,2.1,4.7,.455,1.3,1.7,.750,2.1,3.0,5.1,0.8,0.8,0.8,1.3,3.8,9.3
994,Michael Dickerson,Career,,,NBA,,212,206,7490,5.9,13.6,.432,1.4,3.4,.402,4.5,10.1,.442,2.6,3.3,.784,0.9,2.1,2.9,2.7,1.0,0.4,2.0,2.6,15.7
995,Clyde Dickey,Career,,,ABA,,58,,472,5.4,15.5,.350,0.2,1.1,.133,5.3,14.3,.367,1.2,1.6,.762,0.9,3.7,4.7,3.6,1.1,0.0,3.4,3.5,12.2
999,Travis Diener,Career,,,NBA,,179,21,2660,4.0,10.4,.388,2.2,6.3,.353,1.8,4.1,.442,1.3,1.5,.847,0.5,2.8,3.3,5.8,1.0,0.1,1.3,2.7,11.6
1000,Gorgui Dieng,Career,,,NBA,,360,185,8999,4.7,9.2,.507,0.1,0.5,.314,4.5,8.7,.518,2.6,3.4,.785,3.0,6.7,9.7,2.2,1.3,1.6,1.9,3.6,12.1
1002,Coby Dietrick,Career,,,TOT,,842,0,16287,4.8,10.3,.462,0.0,0.1,.194,4.7,10.2,.464,1.8,2.5,.735,2.6,5.7,8.3,3.8,1.6,1.2,2.5,5.2,11.4
1005,Dwaine Dillard,Career,,,ABA,,3,,19,1.9,5.7,.333,0.0,0.0,,1.9,5.7,.333,3.8,3.8,1.000,3.8,13.3,17.1,3.8,3.8,3.8,9.5,13.3,7.6
1006,Mickey Dillard,Career,,,NBA,,33,0,221,4.7,12.9,.367,0.0,0.7,.000,4.7,12.2,.387,2.4,3.7,.652,1.0,1.5,2.4,5.5,1.3,0.3,2.8,6.5,11.9
