,Name,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
822,Chris Crawford,Career,,,NBA,,252,92,15.8,2.4,5.5,.437,0.3,0.8,.347,2.1,4.7,.453,.462,1.5,1.8,.824,0.8,1.4,2.2,0.6,0.4,0.3,0.9,2.0,6.6
824,Jamal Crawford,Career,,,NBA,,1246,433,30.0,5.2,12.7,.410,1.7,4.9,.349,3.5,7.8,.449,.478,2.9,3.3,.862,0.4,1.9,2.3,3.4,0.9,0.2,1.9,1.5,15.0
825,Joe Crawford,Career,,,NBA,,2,0,11.5,1.5,5.0,.300,0.5,2.0,.250,1.0,3.0,.333,.350,1.0,1.0,1.000,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5
826,Jordan Crawford,Career,,,NBA,,278,99,24.6,4.6,11.2,.411,1.2,3.7,.316,3.4,7.5,.458,.463,1.9,2.3,.825,0.6,2.0,2.5,3.2,0.7,0.1,1.9,1.6,12.3
828,Ron Crevier,Career,,,NBA,,3,0,1.3,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.7,.000,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0
830,Joe Crispin,Career,,,NBA,,21,0,7.4,1.2,3.2,.382,0.7,1.9,.385,0.5,1.4,.379,.493,0.6,0.6,.923,0.1,0.4,0.5,1.2,0.2,0.0,0.5,0.5,3.8
831,Charlie Criss,Career,,,NBA,,418,22,21.4,3.1,7.3,.432,0.1,0.4,.179,3.1,7.0,.441,.435,2.1,2.5,.831,0.3,1.1,1.4,3.2,0.9,0.1,1.5,1.4,8.5
833,Winston Crite,Career,,,NBA,,31,0,8.5,1.1,2.3,.479,0.0,0.0,,1.1,2.3,.479,.479,0.6,0.8,.760,0.9,1.2,2.1,0.5,0.2,0.3,0.8,1.4,2.8
834,Javaris Crittenton,Career,,,NBA,,113,10,16.4,2.0,4.6,.442,0.1,0.5,.231,1.9,4.1,.466,.454,1.1,1.7,.638,0.7,1.7,2.4,1.8,0.5,0.1,1.2,1.3,5.3
837,Geoff Crompton,Career,,,NBA,,82,1,6.0,0.5,1.3,.370,0.0,0.0,,0.5,1.3,.370,.370,0.2,0.5,.442,0.6,1.1,1.7,0.3,0.1,0.3,0.5,1.1,1.2
838,Terry Crosby,Career,,,NBA,,4,,7.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.5,1.000,0.0,0.3,0.3,1.8,0.0,0.0,1.3,1.0,1.5
839,Austin Croshere,Career,,,NBA,,659,88,17.4,2.3,5.6,.407,0.7,1.9,.340,1.6,3.6,.443,.466,1.6,1.9,.861,1.1,3.0,4.0,1.0,0.4,0.3,1.0,1.7,6.8
840,Jeff Cross,Career,,,NBA,,21,0,6.1,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,.250,0.7,1.2,.560,0.4,1.0,1.4,0.0,0.1,0.1,0.3,1.8,1.2
842,Russell Cross,Career,,,NBA,,45,0,7.9,1.4,2.5,.571,0.0,0.0,,1.4,2.5,.571,.571,0.8,2.0,.418,0.8,1.0,1.8,0.5,0.3,0.2,0.4,1.3,3.7
844,John Crotty,Career,,,NBA,,477,6,12.1,1.3,3.0,.431,0.3,0.8,.384,1.0,2.3,.448,.481,1.1,1.3,.837,0.3,0.8,1.1,2.1,0.4,0.0,0.9,1.3,4.0
847,Corey Crowder,Career,,,NBA,,58,0,6.2,0.8,2.1,.369,0.2,0.6,.382,0.6,1.5,.364,.422,0.3,0.4,.708,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.6,2.1
848,Jae Crowder,Career,,,NBA,,443,233,23.6,3.1,7.2,.432,1.2,3.5,.343,1.9,3.8,.514,.514,1.5,1.9,.791,0.7,3.0,3.8,1.4,1.0,0.3,0.8,2.0,8.9
850,Pat Cummings,Career,,,NBA,,683,300,21.3,4.0,8.1,.497,0.0,0.0,.000,4.0,8.0,.498,.497,1.6,2.1,.737,1.7,3.9,5.6,1.2,0.5,0.3,1.7,3.0,9.6
851,Terry Cummings,Career,,,NBA,,1183,815,28.7,6.8,14.1,.484,0.0,0.1,.295,6.8,13.9,.486,.485,2.8,4.0,.706,2.7,4.6,7.3,1.9,1.1,0.5,1.9,3.2,16.4
852,Vonteego Cummings,Career,,,NBA,,199,23,19.0,2.6,6.8,.383,0.5,1.7,.321,2.1,5.1,.404,.423,1.2,1.6,.726,0.6,1.3,1.9,2.7,0.9,0.2,1.3,1.9,6.9
853,Billy Cunningham,Career,,,TOT,,770,,34.9,8.0,17.6,.452,0.1,0.5,.263,8.0,17.6,.453,.452,5.2,7.1,.730,2.2,8.0,10.4,4.3,1.8,0.5,4.4,3.7,21.2
854,Dante Cunningham,Career,,,NBA,,636,173,21.5,2.6,5.5,.469,0.3,0.8,.329,2.3,4.7,.493,.493,0.6,0.9,.643,1.2,2.7,3.8,0.7,0.7,0.5,0.5,1.8,6.0
856,Jared Cunningham,Career,,,NBA,,84,3,7.2,0.7,2.1,.347,0.2,0.7,.306,0.5,1.3,.369,.402,0.7,1.0,.674,0.1,0.6,0.7,0.5,0.3,0.0,0.4,0.9,2.3
857,William Cunningham,Career,,,NBA,,23,8,8.7,0.3,1.2,.259,0.0,0.0,,0.3,1.2,.259,.259,0.0,0.1,.000,0.7,0.9,1.7,0.1,0.1,0.5,0.2,1.7,0.6
858,Radisav Curcic,Career,,,NBA,,20,0,8.3,0.8,2.1,.390,0.0,0.0,,0.8,2.1,.390,.390,1.3,1.8,.722,0.9,1.6,2.5,0.6,0.4,0.1,0.4,1.5,2.9
860,Earl Cureton,Career,,,NBA,,674,131,18.4,2.3,4.8,.473,0.0,0.0,.000,2.3,4.8,.476,.473,0.8,1.5,.538,1.8,2.9,4.7,1.0,0.5,0.5,1.1,2.3,5.4
861,Bill Curley,Career,,,NBA,,147,11,11.0,1.1,2.4,.444,0.0,0.1,.222,1.1,2.3,.449,.446,0.5,0.7,.743,0.8,1.1,2.0,0.4,0.4,0.3,0.5,2.3,2.7
863,Dell Curry,Career,,,NBA,,1083,99,21.7,4.7,10.3,.457,1.1,2.9,.402,3.6,7.4,.478,.513,1.1,1.4,.843,0.6,1.9,2.4,1.8,0.9,0.2,1.2,1.7,11.7
864,Eddy Curry,Career,,,NBA,,527,411,24.9,4.9,9.0,.545,0.0,0.0,1.000,4.9,9.0,.544,.545,3.2,4.9,.642,1.8,3.4,5.2,0.5,0.3,0.7,2.2,3.0,12.9
865,JamesOn Curry,Career,,,NBA,,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,Michael Curry,Career,,,NBA,,667,269,19.8,1.6,3.7,.447,0.1,0.4,.298,1.5,3.3,.465,.463,1.1,1.3,.825,0.3,1.3,1.6,1.2,0.5,0.1,0.7,2.3,4.5
867,Seth Curry,Career,,,NBA,,118,51,23.2,3.7,7.9,.473,1.6,3.7,.432,2.1,4.2,.508,.573,1.1,1.3,.844,0.3,1.8,2.1,2.2,0.9,0.1,1.1,1.4,10.2
868,Stephen Curry,Career,,,NBA,,622,616,34.5,8.0,16.8,.477,3.4,7.8,.436,4.6,9.0,.512,.578,3.6,4.0,.903,0.7,3.7,4.4,6.8,1.8,0.2,3.2,2.5,23.1
869,Rastko Cvetkovic,Career,,,NBA,,14,0,3.4,0.4,1.1,.313,0.0,0.1,.000,0.4,1.1,.333,.313,0.0,0.3,.000,0.3,0.5,0.8,0.2,0.1,0.1,0.2,0.8,0.7
870,Mike D'Antoni,Career,,,TOT,,180,,14.8,1.5,3.5,.414,0.0,0.1,.000,1.5,3.5,.416,.414,0.5,0.6,.735,0.3,1.1,1.5,2.0,1.2,0.2,0.9,2.1,3.4
873,Quintin Dailey,Career,,,NBA,,528,140,23.0,5.6,12.2,.454,0.0,0.3,.158,5.5,12.0,.461,.456,3.0,3.8,.779,0.8,1.7,2.5,2.3,0.9,0.1,1.9,2.3,14.1
874,Samuel Dalembert,Career,,,NBA,,886,694,24.4,3.2,6.1,.521,0.0,0.0,.083,3.2,6.1,.522,.521,1.3,1.9,.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
876,Erick Dampier,Career,,,NBA,,987,771,24.3,2.8,5.7,.498,0.0,0.0,.125,2.8,5.7,.499,.498,1.8,2.8,.626,2.8,4.3,7.1,0.8,0.3,1.4,1.5,2.9,7.4
877,Louie Dampier,Career,,,TOT,,960,,33.5,6.2,14.0,.444,1.1,3.0,.358,5.4,11.7,.461,.474,2.6,3.2,.820,0.6,1.9,2.6,4.9,0.8,0.3,2.3,1.9,15.9
878,Bob Dandridge,Career,,,NBA,,839,0,35.2,7.7,15.9,.484,0.0,0.2,.167,7.7,15.9,.484,.484,3.1,4.0,.780,1.7,4.4,6.8,3.4,1.3,0.6,2.7,3.5,18.5
879,Antonio Daniels,Career,,,NBA,,872,220,22.6,2.6,5.9,.444,0.4,1.3,.311,2.2,4.5,.483,.479,2.0,2.5,.793,0.3,1.6,1.8,3.4,0.6,0.1,1.1,1.1,7.6
880,Erik Daniels,Career,,,NBA,,21,0,3.4,0.3,0.9,.333,0.0,0.1,.500,0.2,0.8,.313,.361,0.0,0.0,,0.3,0.5,0.9,0.2,0.1,0.0,0.3,0.3,0.6
881,Lloyd Daniels,Career,,,NBA,,200,29,17.7,2.8,6.9,.403,0.8,2.4,.316,2.0,4.5,.450,.458,0.8,1.0,.743,0.9,1.3,2.2,1.6,0.5,0.3,1.1,1.5,7.1
882,Marquis Daniels,Career,,,NBA,,548,146,21.4,3.2,7.2,.451,0.2,0.8,.235,3.0,6.4,.478,.464,1.2,1.7,.721,1.0,1.9,2.8,1.8,0.9,0.3,1.2,1.6,7.9
883,Mel Daniels,Career,,,TOT,,639,,35.2,7.3,15.6,.468,0.0,0.1,.088,7.3,15.6,.469,.468,3.8,5.8,.657,4.5,10.4,14.9,1.8,0.6,1.5,3.0,3.6,18.4
884,Troy Daniels,Career,,,NBA,,226,8,14.9,2.3,5.8,.400,1.7,4.3,.403,0.6,1.5,.391,.549,0.5,0.6,.829,0.2,1.0,1.2,0.6,0.2,0.1,0.6,1.3,6.8
885,Sasha Danilovic,Career,,,NBA,,75,60,31.1,4.4,10.1,.439,1.6,4.2,.379,2.8,5.9,.482,.518,2.3,3.0,.789,0.5,1.9,2.4,2.0,0.9,0.2,2.0,2.8,12.8
886,Adrian Dantley,Career,,,NBA,,955,546,35.8,8.6,15.8,.540,0.0,0.1,.171,8.5,15.8,.541,.540,7.2,8.7,.818,2.3,3.4,5.7,3.0,1.0,0.2,2.9,2.7,24.3
890,Yinka Dare,Career,,,NBA,,110,25,9.1,0.8,2.0,.396,0.0,0.0,,0.8,2.0,.396,.396,0.6,1.0,.570,0.9,1.6,2.6,0.0,0.1,0.6,0.9,1.6,2.1
892,Rick Darnell,Career,,,ABA,,11,,10.9,1.0,2.7,.367,0.0,0.0,,1.0,2.7,.367,.367,0.4,0.6,.571,1.1,2.2,3.3,0.8,0.5,0.3,1.3,2.7,2.4
894,Gigi Datome,Career,,,NBA,,55,1,8.1,1.4,3.4,.414,0.5,1.4,.316,0.9,1.9,.486,.481,0.2,0.2,.818,0.3,1.1,1.4,0.4,0.1,0.1,0.4,0.6,3.4
895,Brad Daugherty,Career,,,NBA,,548,546,36.5,7.0,13.1,.532,0.0,0.0,.143,7.0,13.1,.533,.532,5.0,6.7,.747,2.2,7.3,9.5,3.7,0.8,0.7,2.8,2.7,19.0
897,Kornel David,Career,,,NBA,,109,11,14.5,1.8,4.1,.446,0.0,0.0,.000,1.8,4.1,.450,.446,1.3,1.7,.817,1.0,1.8,2.8,0.6,0.4,0.2,0.8,1.6,5.0
898,Jermareo Davidson,Career,,,NBA,,52,2,8.3,1.3,3.1,.425,0.0,0.0,,1.3,3.1,.425,.425,0.5,0.9,.578,0.6,1.3,1.8,0.3,0.2,0.3,0.4,1.1,3.1
900,Brandon Davies,Career,,,NBA,,78,6,12.8,1.4,3.4,.411,0.1,0.6,.227,1.3,2.8,.448,.430,0.7,1.2,.644,1.0,1.5,2.5,0.7,0.5,0.2,0.8,1.9,3.7
901,Anthony Davis,Career,,,NBA,,390,385,34.7,8.7,16.9,.517,0.3,1.0,.307,8.4,15.9,.530,.526,5.4,6.8,.793,2.5,7.7,10.3,1.8,1.3,2.3,1.8,2.4,23.2
902,Antonio Davis,Career,,,NBA,,903,524,28.9,3.5,7.9,.448,0.0,0.0,.087,3.5,7.9,.449,.448,3.0,4.1,.727,2.6,4.9,7.5,1.1,0.5,1.0,1.5,2.8,10.0
904,Baron Davis,Career,,,NBA,,835,692,34.2,5.9,14.3,.409,1.6,5.0,.320,4.3,9.3,.456,.465,2.8,3.9,.711,0.9,2.9,3.8,7.2,1.8,0.4,2.8,2.8,16.1
905,Ben Davis,Career,,,NBA,,40,0,3.9,0.5,1.5,.356,0.0,0.0,,0.5,1.5,.356,.356,0.3,0.7,.462,0.8,0.6,1.3,0.1,0.2,0.1,0.2,0.6,1.4
908,Brad Davis,Career,,,NBA,,961,396,23.2,3.1,6.1,.510,0.3,0.9,.321,2.8,5.2,.542,.534,1.7,2.1,.828,0.3,1.5,1.8,4.9,0.8,0.2,1.4,2.2,8.2
909,Brian Davis,Career,,,NBA,,68,3,5.5,0.6,1.9,.317,0.0,0.0,.333,0.6,1.8,.317,.321,0.7,1.0,.735,0.3,0.5,0.8,0.3,0.2,0.1,0.3,0.5,1.9
910,Charles Davis,Career,,,NBA,,415,32,12.2,2.3,5.2,.451,0.0,0.3,.170,2.3,4.9,.466,.455,0.6,0.8,.737,0.9,1.5,2.4,0.7,0.3,0.2,0.8,1.5,5.3
912,Dale Davis,Career,,,NBA,,1094,863,27.1,3.3,6.2,.530,0.0,0.0,.000,3.3,6.2,.530,.530,1.4,2.5,.562,3.0,4.8,7.9,0.9,0.6,1.2,1.0,2.6,8.0
913,Deyonta Davis,Career,,,NBA,,78,2,10.2,1.6,2.6,.617,0.0,0.0,,1.6,2.6,.617,.617,0.5,0.7,.655,0.8,1.9,2.7,0.3,0.2,0.6,0.4,1.5,3.7
915,Ed Davis,Career,,,NBA,,543,94,20.6,2.8,4.9,.565,0.0,0.0,.000,2.8,4.9,.565,.565,1.1,2.0,.577,2.3,4.2,6.5,0.8,0.5,0.9,0.8,2.5,6.7
916,Emanual Davis,Career,,,NBA,,226,62,17.4,1.8,4.5,.394,0.7,2.0,.352,1.1,2.6,.426,.471,0.6,0.8,.787,0.3,1.6,1.9,1.8,0.7,0.1,1.2,1.5,4.9
917,Glen Davis,Career,,,NBA,,514,121,21.1,3.1,7.0,.447,0.0,0.1,.182,3.1,6.9,.451,.448,1.7,2.4,.700,1.4,2.9,4.4,0.9,0.7,0.3,1.0,2.4,8.0
918,Harry Davis,Career,,,NBA,,44,,9.6,1.6,3.8,.436,0.0,0.0,,1.6,3.8,.436,.436,0.7,1.0,.689,0.7,1.0,1.6,0.4,0.3,0.2,0.6,1.7,4.0
919,Hubert Davis,Career,,,NBA,,685,149,22.1,3.1,6.7,.458,1.1,2.4,.441,2.0,4.3,.468,.537,0.9,1.1,.837,0.3,1.2,1.5,1.7,0.4,0.1,0.9,1.5,8.2
921,Johnny Davis,Career,,,NBA,,750,212,28.3,4.9,11.0,.448,0.1,0.4,.176,4.9,10.8,.454,.450,3.0,3.7,.821,0.7,1.3,2.0,4.5,0.9,0.2,2.1,2.0,12.9
922,Josh Davis,Career,,,NBA,,67,6,7.4,0.8,2.2,.373,0.3,1.0,.329,0.5,1.2,.413,.450,0.3,0.4,.724,0.7,1.0,1.7,0.3,0.3,0.1,0.3,1.0,2.3
923,Lee Davis,Career,,,ABA,,453,,17.2,3.3,6.9,.482,0.0,0.1,.189,3.3,6.8,.486,.484,1.1,1.8,.607,1.8,3.0,4.8,1.0,0.4,0.5,0.9,2.4,7.8
924,Mark Davis,Career,,,NBA,,33,0,7.8,1.5,3.1,.480,0.0,0.3,.100,1.5,2.8,.522,.485,0.8,1.0,.824,0.5,0.6,1.1,0.4,0.4,0.2,0.4,1.2,3.8
925,Mark Davis,Career,,,NBA,,230,37,16.0,2.1,4.7,.442,0.1,0.5,.246,1.9,4.2,.465,.455,1.2,1.9,.655,1.3,1.8,3.0,1.3,0.9,0.3,1.4,2.1,5.5
927,Mickey Davis,Career,,,TOT,,309,,12.4,2.0,4.3,.455,0.0,0.1,.000,2.0,4.3,.456,.455,1.1,1.3,.835,0.9,1.8,2.7,1.0,0.4,0.1,0.7,1.2,5.0
928,Mike Davis,Career,,,TOT,,242,,20.0,3.9,9.1,.424,0.2,0.6,.261,3.8,9.0,.426,.425,2.4,3.1,.765,0.6,0.5,2.1,1.7,,,0.9,2.8,10.1
929,Mike Davis,Career,,,NBA,,8,0,3.5,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.8,1.3,.600,0.4,0.9,1.3,0.0,0.0,0.5,0.0,0.5,1.8
930,Monti Davis,Career,,,NBA,,2,,5.0,0.5,2.5,.200,0.0,0.0,,0.5,2.5,.200,.200,0.5,2.5,.200,1.0,1.0,2.0,0.0,0.0,0.5,0.0,0.0,1.5
931,Paul Davis,Career,,,NBA,,82,2,8.6,1.1,2.7,.402,0.0,0.0,.000,1.1,2.7,.404,.402,0.5,0.7,.732,0.9,1.0,1.9,0.4,0.3,0.2,0.4,1.3,2.6
934,Ricky Davis,Career,,,NBA,,736,344,29.8,5.1,11.4,.446,0.8,2.2,.361,4.3,9.2,.466,.480,2.5,3.2,.781,0.8,2.7,3.5,3.3,1.0,0.3,2.2,1.9,13.5
935,Ron Davis,Career,,,NBA,,78,0,12.2,2.0,4.8,.420,0.0,0.1,.250,2.0,4.7,.423,.422,1.3,2.3,.571,0.7,1.1,1.8,0.7,0.6,0.1,0.9,1.5,5.3
936,Terry Davis,Career,,,NBA,,480,275,21.6,2.5,5.3,.472,0.0,0.0,.158,2.5,5.3,.475,.473,1.4,2.3,.605,2.3,3.7,6.0,0.6,0.4,0.3,1.1,2.5,6.4
938,Walter Davis,Career,,,NBA,,1033,373,27.9,7.9,15.4,.511,0.2,0.7,.272,7.7,14.8,.521,.516,3.0,3.6,.851,0.9,2.1,3.0,3.8,1.2,0.1,2.5,2.4,18.9
939,Warren Davis,Career,,,ABA,,447,,29.3,4.5,9.4,.480,0.0,0.0,.125,4.5,9.4,.481,.480,3.1,4.5,.691,3.1,6.1,9.2,2.1,,,2.4,3.4,12.2
941,Andre Dawkins,Career,,,NBA,,4,0,5.5,0.3,1.5,.167,0.3,1.5,.167,0.0,0.0,,.250,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.8,0.8
942,Darryl Dawkins,Career,,,NBA,,726,232,23.7,4.8,8.4,.572,0.0,0.0,.133,4.8,8.4,.573,.572,2.4,3.6,.685,1.5,4.6,6.1,1.3,0.5,1.4,2.6,3.8,12.0
943,Johnny Dawkins,Career,,,NBA,,541,303,27.5,4.4,9.6,.456,0.3,1.0,.330,4.0,8.6,.471,.474,2.0,2.3,.857,0.6,1.9,2.5,5.5,1.1,0.1,2.0,1.5,11.1
944,Paul Dawkins,Career,,,NBA,,57,,13.6,2.5,5.3,.470,0.0,0.1,.200,2.5,5.2,.475,.472,0.6,0.8,.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2.0,5.5
945,Branden Dawson,Career,,,NBA,,6,0,4.8,0.3,0.8,.400,0.0,0.0,,0.3,0.8,.400,.400,0.2,0.2,1.000,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8
946,Eric Dawson,Career,,,NBA,,4,0,9.8,1.8,3.0,.583,0.0,0.0,,1.8,3.0,.583,.583,0.3,0.5,.500,1.3,1.3,2.5,0.0,0.3,0.5,0.8,1.5,3.8
948,Tony Dawson,Career,,,NBA,,6,0,5.0,1.2,2.5,.467,0.3,0.7,.500,0.8,1.8,.455,.533,0.2,0.2,1.000,0.3,0.5,0.8,0.2,0.0,0.0,0.5,0.7,2.8
949,Todd Day,Career,,,NBA,,483,197,25.3,4.2,10.4,.406,1.2,3.4,.345,3.0,7.0,.435,.462,2.6,3.6,.739,1.2,2.2,3.4,1.5,1.1,0.6,1.5,2.8,12.3
950,Austin Daye,Career,,,NBA,,293,29,14.1,1.9,4.8,.402,0.6,1.8,.351,1.3,3.0,.433,.469,0.7,0.9,.778,0.5,2.1,2.6,0.7,0.4,0.4,0.7,1.6,5.2
951,Darren Daye,Career,,,NBA,,328,22,15.9,2.6,5.3,.491,0.0,0.1,.118,2.6,5.2,.494,.491,1.6,2.4,.681,1.0,1.6,2.6,2.0,0.6,0.2,1.3,1.9,6.8
952,Nando De Colo,Career,,,NBA,,119,9,11.9,1.4,3.3,.429,0.4,1.1,.363,1.0,2.2,.463,.491,0.6,0.7,.835,0.3,1.5,1.8,1.7,0.5,0.1,1.0,1.1,3.8
953,Greg Deane,Career,,,NBA,,7,,6.9,0.3,1.6,.182,0.1,0.1,1.000,0.1,1.4,.100,.227,0.7,1.0,.714,0.3,0.6,0.9,0.9,0.0,0.0,0.4,0.4,1.4
956,Andrew DeClercq,Career,,,NBA,,587,253,16.8,1.9,3.8,.507,0.0,0.0,.000,1.9,3.8,.507,.507,1.0,1.6,.621,1.7,2.5,4.2,0.6,0.7,0.5,0.9,3.0,4.8
957,Dewayne Dedmon,Career,,,NBA,,268,106,16.1,2.1,3.8,.563,0.1,0.3,.385,2.0,3.4,.581,.581,0.8,1.2,.687,1.6,3.9,5.5,0.5,0.4,0.8,0.8,2.3,5.2
960,Terry Dehere,Career,,,NBA,,402,65,18.2,2.7,6.5,.411,0.8,2.2,.378,1.9,4.4,.427,.473,1.8,2.4,.779,0.4,1.1,1.5,2.6,0.5,0.1,1.5,2.1,8.0
962,Bryce Dejean-Jones,Career,,,NBA,,14,11,19.9,2.0,4.9,.406,0.9,2.3,.375,1.1,2.6,.432,.493,0.8,1.5,.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6
963,Sam Dekker,Career,,,NBA,,136,3,15.9,2.2,4.8,.471,0.5,1.8,.282,1.7,3.0,.587,.525,0.5,0.8,.607,0.9,2.2,3.2,0.8,0.4,0.2,0.5,1.0,5.5
964,Vinny Del Negro,Career,,,NBA,,771,370,24.9,3.7,7.8,.475,0.3,0.9,.359,3.4,6.9,.489,.495,1.4,1.7,.840,0.4,2.0,2.3,3.2,0.7,0.1,1.1,1.9,9.1
965,Malcolm Delaney,Career,,,NBA,,126,5,17.8,2.0,5.3,.377,0.5,1.8,.301,1.4,3.5,.416,.428,1.2,1.5,.809,0.2,1.6,1.8,2.8,0.6,0.0,1.3,1.5,5.7
966,Bison Dele,Career,,,NBA,,413,204,24.2,4.5,8.5,.528,0.0,0.0,.143,4.5,8.4,.529,.528,2.0,2.9,.691,2.1,4.1,6.2,1.1,0.8,0.9,2.0,3.1,11.0
967,Carlos Delfino,Career,,,NBA,,507,170,22.8,2.9,7.2,.401,1.3,3.7,.365,1.6,3.6,.438,.494,1.0,1.3,.758,0.6,3.0,3.6,1.7,0.9,0.2,1.0,1.6,8.1
968,Tony Delk,Career,,,NBA,,545,103,21.5,3.4,8.4,.408,0.9,2.5,.343,2.6,5.9,.436,.459,1.4,1.8,.769,0.6,1.8,2.5,1.9,0.8,0.1,1.1,1.6,9.1
969,Matthew Dellavedova,Career,,,NBA,,328,88,22.0,2.1,5.5,.391,1.0,2.6,.388,1.1,2.9,.394,.483,0.7,0.8,.839,0.4,1.5,1.9,3.7,0.5,0.0,1.3,2.0,6.0
971,Fennis Dembo,Career,,,NBA,,31,0,2.4,0.5,1.4,.333,0.0,0.1,.000,0.5,1.2,.368,.333,0.3,0.3,.800,0.3,0.5,0.7,0.2,0.0,0.0,0.2,0.5,1.2
972,Larry Demic,Career,,,NBA,,206,0,15.5,1.9,4.2,.459,0.0,0.0,.000,1.9,4.2,.461,.459,0.9,1.5,.580,1.6,2.3,3.9,0.5,0.3,0.2,1.2,2.5,4.7
973,Dell Demps,Career,,,NBA,,20,0,5.4,1.1,2.1,.500,0.1,0.2,.333,1.0,2.0,.513,.512,0.8,1.1,.762,0.1,0.4,0.5,0.5,0.3,0.1,0.7,0.6,3.0
975,Luol Deng,Career,,,NBA,,880,826,34.7,5.8,12.7,.455,0.7,2.2,.332,5.0,10.5,.481,.484,2.7,3.6,.770,1.6,4.5,6.1,2.3,1.0,0.5,1.6,1.7,15.0
976,Kenny Dennard,Career,,,NBA,,95,3,13.1,1.1,2.7,.429,0.0,0.1,.300,1.1,2.6,.434,.435,0.5,0.8,.644,1.1,1.9,3.0,1.0,0.8,0.2,0.7,2.0,2.8
978,Justin Dentmon,Career,,,NBA,,8,0,11.9,1.3,3.8,.333,0.3,1.8,.143,1.0,2.0,.500,.367,0.5,0.8,.667,0.0,1.0,1.0,1.3,0.3,0.0,0.9,1.3,3.3
979,Randy Denton,Career,,,TOT,,413,,24.7,4.9,10.4,.473,0.0,0.0,.214,4.9,10.4,.474,.473,1.6,2.1,.779,2.9,5.7,8.6,1.3,0.5,0.5,1.6,2.6,11.5
980,Joe DePre,Career,,,ABA,,119,,19.2,2.8,5.8,.477,0.0,0.1,.200,2.8,5.7,.481,.478,1.4,1.9,.735,0.6,1.3,1.9,1.6,,,1.7,2.9,7.0
982,DeMar DeRozan,Career,,,NBA,,656,644,34.1,7.0,15.6,.448,0.5,1.6,.288,6.5,14.0,.467,.463,5.2,6.3,.828,0.8,3.3,4.1,3.0,1.0,0.3,2.0,2.2,19.7
986,Derrick Dial,Career,,,NBA,,82,0,8.4,1.3,3.4,.372,0.1,0.5,.190,1.2,2.9,.404,.386,0.5,0.7,.672,0.5,1.1,1.6,0.8,0.3,0.1,0.4,0.6,3.1
987,Cheick Diallo,Career,,,NBA,,50,0,9.8,1.7,3.4,.509,0.0,0.0,,1.7,3.4,.509,.509,0.8,1.0,.745,0.8,2.5,3.4,0.3,0.2,0.3,0.4,1.1,4.2
988,Boris Diaw,Career,,,NBA,,1064,564,27.0,3.6,7.2,.493,0.4,1.3,.336,3.1,5.9,.529,.524,1.0,1.4,.717,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.1,8.6
989,Yakhouba Diawara,Career,,,NBA,,187,56,14.0,1.2,3.5,.357,0.7,2.2,.301,0.6,1.3,.448,.450,0.4,0.6,.650,0.4,1.0,1.4,0.7,0.3,0.1,0.4,1.5,3.5
990,Guillermo Diaz,Career,,,NBA,,6,0,3.0,0.2,0.7,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.5,0.8,.600,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.8
991,Dan Dickau,Career,,,NBA,,300,57,15.4,2.0,5.1,.401,0.6,1.8,.341,1.4,3.3,.432,.460,1.2,1.4,.831,0.3,1.1,1.4,2.5,0.5,0.0,1.1,1.7,5.8
992,Kaniel Dickens,Career,,,NBA,,19,0,4.5,0.4,1.1,.400,0.2,0.5,.333,0.3,0.6,.455,.475,0.2,0.2,.750,0.3,0.4,0.6,0.1,0.1,0.1,0.2,0.5,1.2
994,Michael Dickerson,Career,,,NBA,,212,206,35.3,5.8,13.3,.432,1.4,3.4,.402,4.4,9.9,.442,.483,2.5,3.2,.784,0.8,2.0,2.9,2.6,1.0,0.4,1.9,2.6,15.4
