,Name,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
34,Josh Akognon,Career,,,NBA,,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
35,Solomon Alabi,Career,,,NBA,,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
36,Mark Alarie,Career,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
38,Furkan Aldemir,Career,,,NBA,,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,Career,,,NBA,,333,23,10.1,1.3,2.5,.528,0.0,0.0,,1.3,2.5,.528,.528,0.5,0.7,.744,1.0,2.4,3.4,0.5,0.4,0.7,0.6,1.5,3.1
40,LaMarcus Aldridge,Career,,,NBA,,851,810,34.6,7.8,16.1,.487,0.1,0.4,.295,7.7,15.6,.493,.491,3.5,4.4,.805,2.7,5.6,8.3,1.9,0.8,1.0,1.6,2.5,19.3
41,Chuck Aleksinas,Career,,,NBA,,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
42,Cliff Alexander,Career,,,NBA,,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
43,Cory Alexander,Career,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
44,Courtney Alexander,Career,,,NBA,,187,59,21.7,3.5,8.3,.422,0.2,0.6,.339,3.3,7.7,.429,.435,1.8,2.2,.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
45,Gary Alexander,Career,,,NBA,,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
46,Joe Alexander,Career,,,NBA,,67,0,11.1,1.5,3.7,.410,0.2,0.7,.340,1.3,3.0,.426,.442,0.9,1.3,.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
47,Victor Alexander,Career,,,NBA,,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
48,Steve Alford,Career,,,NBA,,169,3,9.7,1.7,3.8,.459,0.2,0.6,.324,1.5,3.1,.487,.487,0.8,0.9,.870,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4
51,Jarrett Allen,Career,,,NBA,,54,13,19.0,3.3,5.5,.591,0.1,0.2,.333,3.2,5.4,.599,.596,1.5,1.9,.777,2.0,3.3,5.3,0.7,0.4,0.9,1.0,1.9,8.1
52,Jerome Allen,Career,,,NBA,,117,1,11.2,1.0,2.8,.350,0.3,1.1,.317,0.6,1.7,.370,.411,0.6,0.9,.630,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9
53,Kadeem Allen,Career,,,NBA,,7,0,3.9,0.1,0.9,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.6,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.7
54,Lavoy Allen,Career,,,NBA,,388,87,17.8,2.1,4.5,.471,0.0,0.0,.133,2.1,4.5,.474,.472,0.5,0.7,.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8
56,Malik Allen,Career,,,NBA,,478,125,15.2,2.2,4.9,.439,0.0,0.0,.188,2.2,4.9,.441,.440,0.5,0.7,.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9
57,Randy Allen,Career,,,NBA,,70,6,11.3,1.6,3.7,.442,0.0,0.1,.000,1.6,3.6,.456,.442,0.3,0.6,.533,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6
58,Ray Allen,Career,,,NBA,,1300,1149,35.6,6.6,14.6,.452,2.3,5.7,.400,4.3,8.9,.485,.530,3.4,3.8,.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
59,Tony Allen,Career,,,NBA,,820,441,22.0,3.2,6.6,.475,0.2,0.5,.282,3.0,6.1,.492,.487,1.7,2.3,.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
62,Lance Allred,Career,,,NBA,,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
63,Darrell Allums,Career,,,NBA,,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
64,Morris Almond,Career,,,NBA,,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1
65,Derrick Alston,Career,,,NBA,,139,42,19.1,2.3,4.7,.489,0.0,0.1,.143,2.3,4.6,.493,.490,0.8,1.7,.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4
66,Rafer Alston,Career,,,NBA,,671,452,28.9,3.7,9.5,.383,1.5,4.2,.354,2.2,5.3,.407,.461,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1
67,Peter Aluma,Career,,,NBA,,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
68,John Amaechi,Career,,,NBA,,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2
69,Ashraf Amaya,Career,,,NBA,,85,34,14.7,1.6,3.4,.455,0.0,0.0,.500,1.6,3.4,.455,.457,1.3,2.1,.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5
70,Al-Farouq Aminu,Career,,,NBA,,569,328,24.6,2.8,6.5,.424,0.7,2.1,.338,2.1,4.4,.464,.478,1.2,1.7,.725,1.4,4.4,5.8,1.2,0.9,0.6,1.3,1.9,7.4
71,Lou Amundson,Career,,,NBA,,428,42,12.9,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.475,.474,0.6,1.4,.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
73,Chris Andersen,Career,,,NBA,,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
74,David Andersen,Career,,,NBA,,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9
75,Alan Anderson,Career,,,NBA,,330,66,20.6,2.6,6.3,.405,1.0,2.9,.344,1.6,3.4,.457,.484,1.2,1.5,.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
77,Antonio Anderson,Career,,,NBA,,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
81,Derek Anderson,Career,,,NBA,,615,390,29.2,3.9,9.6,.408,1.0,3.1,.341,2.9,6.6,.440,.463,3.0,3.6,.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0
82,Dwight Anderson,Career,,,NBA,,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
83,Eric Anderson,Career,,,NBA,,27,0,3.1,0.4,1.3,.343,0.1,0.1,1.000,0.4,1.2,.303,.371,0.6,1.0,.593,0.4,0.7,1.1,0.2,0.1,0.1,0.3,0.9,1.6
84,Greg Anderson,Career,,,NBA,,680,315,20.6,3.0,6.0,.492,0.0,0.0,.087,3.0,6.0,.494,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3
85,J.J. Anderson,Career,,,NBA,,157,2,12.5,1.9,4.2,.465,0.0,0.1,.000,1.9,4.1,.471,.465,0.9,1.6,.558,1.2,1.6,2.8,0.7,0.7,0.2,0.8,1.6,4.8
86,James Anderson,Career,,,NBA,,247,83,17.5,2.1,5.2,.411,0.8,2.5,.321,1.3,2.7,.495,.488,0.7,0.9,.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8
88,Justin Anderson,Career,,,NBA,,156,19,14.4,2.0,4.8,.423,0.7,2.2,.300,1.4,2.6,.526,.491,1.0,1.3,.780,0.7,2.1,2.8,0.7,0.5,0.3,0.6,1.2,5.8
89,Kenny Anderson,Career,,,NBA,,858,693,30.1,4.7,11.1,.421,0.6,1.8,.346,4.0,9.2,.436,.449,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6
91,Kyle Anderson,Career,,,NBA,,237,81,17.3,1.8,3.9,.469,0.2,0.5,.328,1.7,3.4,.491,.491,0.8,1.1,.748,0.5,3.0,3.5,1.6,0.8,0.5,0.8,1.1,4.7
92,Michael Anderson,Career,,,NBA,,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,2.0,4.7,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
93,Nick Anderson,Career,,,NBA,,800,636,31.2,5.5,12.4,.446,1.3,3.7,.356,4.2,8.7,.485,.500,2.1,3.1,.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4
94,Richard Anderson,Career,,,NBA,,407,30,14.7,2.2,5.4,.412,0.4,1.1,.333,1.9,4.3,.432,.446,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6
95,Ron Anderson,Career,,,NBA,,664,79,22.8,4.4,9.4,.471,0.2,0.6,.287,4.3,8.8,.482,.479,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6
96,Ryan Anderson,Career,,,NBA,,613,281,26.6,4.4,10.5,.423,2.1,5.6,.381,2.3,4.9,.471,.525,1.9,2.2,.856,2.0,3.4,5.4,0.9,0.5,0.3,1.0,2.0,12.9
97,Shandon Anderson,Career,,,NBA,,719,226,22.2,2.8,6.1,.457,0.4,1.4,.316,2.3,4.7,.498,.492,1.4,1.9,.739,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4
98,Willie Anderson,Career,,,NBA,,555,432,28.8,5.1,10.7,.471,0.2,0.7,.266,4.9,10.1,.485,.479,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2
100,Martynas Andriuskevicius,Career,,,NBA,,6,0,1.5,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
102,Ike Anigbogu,Career,,,NBA,,10,0,2.8,0.4,0.9,.444,0.0,0.0,,0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
103,Michael Ansley,Career,,,NBA,,149,6,14.4,2.6,5.0,.513,0.0,0.0,,2.6,5.0,.513,.513,1.7,2.4,.722,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9
104,Chris Anstey,Career,,,NBA,,155,23,13.9,2.0,4.7,.413,0.0,0.2,.138,1.9,4.5,.424,.416,1.3,1.7,.755,1.1,2.3,3.4,0.8,0.5,0.4,0.9,2.4,5.2
105,Giannis Antetokounmpo,Career,,,NBA,,376,311,32.6,6.1,12.1,.505,0.4,1.5,.281,5.7,10.7,.536,.522,4.1,5.5,.744,1.5,5.9,7.4,3.8,1.2,1.3,2.4,2.9,16.8
106,Thanasis Antetokounmpo,Career,,,NBA,,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
107,Carmelo Anthony,Career,,,NBA,,1037,1037,36.0,8.7,19.3,.450,1.3,3.6,.346,7.4,15.7,.473,.482,5.7,7.0,.812,1.7,4.8,6.6,3.0,1.0,0.5,2.7,2.9,24.3
108,Greg Anthony,Career,,,NBA,,757,227,20.9,2.5,6.3,.403,0.8,2.3,.349,1.7,4.0,.434,.467,1.4,1.9,.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3
109,Joel Anthony,Career,,,NBA,,490,110,14.4,0.8,1.6,.513,0.0,0.0,,0.8,1.6,.513,.513,0.5,0.8,.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
110,Pero Antic,Career,,,NBA,,113,29,17.4,2.0,5.2,.392,1.0,3.0,.314,1.1,2.2,.500,.483,1.2,1.7,.730,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3
111,OG Anunoby,Career,,,NBA,,60,48,20.5,2.2,4.8,.453,1.0,2.8,.353,1.2,2.0,.592,.556,0.6,0.9,.686,0.6,1.8,2.4,0.8,0.8,0.2,0.6,1.7,5.9
112,Keith Appling,Career,,,NBA,,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
113,Rafael Araujo,Career,,,NBA,,139,75,11.4,1.1,2.8,.405,0.0,0.0,.250,1.1,2.7,.407,.406,0.5,0.8,.679,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8
115,Robert Archibald,Career,,,NBA,,44,3,7.5,0.3,1.2,.283,0.0,0.0,,0.3,1.2,.283,.283,0.5,1.1,.429,0.6,1.0,1.6,0.4,0.3,0.1,0.4,1.3,1.2
116,Tiny Archibald,Career,,,NBA,,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8
117,Ryan Arcidiacono,Career,,,NBA,,13,0,9.2,0.4,0.9,.417,0.2,0.8,.300,0.2,0.2,1.000,.542,0.2,0.2,1.000,0.0,0.5,0.5,1.0,0.4,0.0,0.2,0.8,1.2
118,Jim Ard,Career,,,TOT,,431,,13.4,1.7,4.3,.402,0.0,0.1,.235,1.7,4.3,.404,.403,0.9,1.4,.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4
119,Gilbert Arenas,Career,,,NBA,,552,455,35.1,6.7,16.0,.421,2.0,5.6,.351,4.8,10.5,.458,.482,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7
