,Name,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
413,Earl Boykins,1998-99,22,TOT,NBA,PG,22,0,221,7.4,19.6,.380,0.7,4.5,.167,6.7,15.1,.443,0.5,0.7,.667,1.7,2.5,4.2,8.2,1.5,0.0,5.0,5.0,16.1,,81,107
415,Winford Boynes,1978-79,21,NJN,NBA,SG,69,,1176,9.5,22.2,.430,,,,9.5,22.2,.430,5.0,6.3,.787,2.2,3.5,5.8,2.8,1.6,0.3,4.4,4.4,24.0,,93,105
416,Cedric Bozeman,2006-07,23,ATL,NBA,SG,23,5,199,2.9,10.5,.282,0.5,3.5,.154,2.4,7.0,.346,0.5,1.6,.333,0.8,5.4,6.2,2.4,1.3,0.5,2.4,8.6,7.0,,66,110
418,Craig Brackins,2010-11,23,PHI,NBA,PF,3,0,33,6.3,25.4,.250,0.0,7.9,.000,6.3,17.5,.364,0.0,0.0,,3.2,3.2,6.3,1.6,1.6,0.0,0.0,4.8,12.7,,66,108
420,Alex Bradley,1981-82,22,NYK,NBA,SF,39,0,331,7.9,15.0,.524,0.0,0.1,.000,7.9,14.9,.529,4.2,7.0,.604,4.5,5.0,9.5,1.6,1.7,0.7,4.1,5.4,20.0,,101,109
421,Alonzo Bradley,1977-78,24,HOU,NBA,SF,43,,798,7.7,18.0,.428,,,,7.7,18.0,.428,2.6,3.5,.729,1.4,4.5,5.9,3.2,0.9,0.4,3.3,4.9,18.0,,92,109
422,Avery Bradley,2010-11,20,BOS,NBA,PG,31,0,162,7.5,22.0,.343,0.0,1.6,.000,7.5,20.3,.371,2.0,3.9,.500,1.3,4.3,5.6,3.9,3.0,0.0,5.2,6.6,17.0,,68,101
425,Charles Bradley,1981-82,22,BOS,NBA,SG,51,1,339,7.7,17.0,.451,0.0,0.1,.000,7.7,16.9,.455,5.9,8.7,.677,1.7,3.6,5.3,3.1,2.0,0.8,5.2,8.5,21.2,,93,105
426,Dudley Bradley,1979-80,22,IND,NBA,SG,82,,2027,6.2,13.8,.452,0.0,0.1,.400,6.2,13.7,.452,3.1,3.9,.782,1.6,3.5,5.1,5.7,4.8,1.1,3.8,4.4,15.6,,98,102
427,Jim Bradley,1973-74,21,KEN,ABA,SF,35,,884,6.8,16.2,.421,0.0,0.1,.000,6.8,16.1,.423,1.6,2.3,.705,3.5,7.7,11.2,2.6,1.9,1.4,2.9,5.6,15.3,,92,97
429,Michael Bradley,2001-02,22,TOR,NBA,PF,26,0,118,6.0,11.5,.520,0.0,0.9,.000,6.0,10.5,.565,1.8,3.7,.500,3.2,7.8,11.0,1.4,0.0,2.7,2.7,4.6,13.7,,97,105
430,Shawn Bradley,1993-94,21,PHI,NBA,C,49,45,1385,7.3,17.8,.409,0.0,0.1,.000,7.3,17.7,.412,3.7,6.1,.607,3.5,7.5,11.1,3.5,1.6,5.3,5.4,6.2,18.3,,84,105
