,Name,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
1102,Cleanthony Early,2014-15,23,NYK,NBA,SF,39,7,647,6.2,17.4,.355,1.8,6.8,.262,4.4,10.6,.415,2.9,3.9,.750,1.8,6.1,7.9,2.9,2.0,1.0,3.3,4.6,17.1,,87,110
1104,Mark Eaton,1982-83,26,UTA,NBA,C,81,32,1528,4.3,10.3,.414,0.0,0.0,.000,4.3,10.3,.415,1.7,2.6,.656,2.5,11.0,13.5,3.3,0.7,8.1,4.1,7.5,10.3,,81,98
1105,Jerry Eaves,1982-83,23,UTA,NBA,PG,82,7,1588,7.9,16.2,.487,0.0,0.2,.125,7.9,16.0,.492,5.6,7.0,.810,1.0,2.5,3.4,5.9,1.4,0.1,4.3,3.3,21.4,,103,109
1106,Devin Ebanks,2010-11,21,LAL,NBA,SG,20,0,118,9.4,22.9,.412,0.9,2.2,.400,8.5,20.6,.413,8.1,10.3,.783,6.7,5.4,12.1,0.9,1.8,2.2,2.7,3.1,27.8,,109,104
1109,Ndudi Ebi,2003-04,19,MIN,NBA,SF,17,0,32,10.1,23.6,.429,0.0,0.0,,10.1,23.6,.429,1.7,6.7,.250,3.4,1.7,5.1,5.1,0.0,6.7,5.1,10.1,21.9,,81,102
1110,Roy Ebron,1973-74,22,UTS,ABA,C,40,,529,9.5,19.4,.488,0.0,0.1,.000,9.5,19.3,.490,3.9,7.7,.512,7.3,8.9,16.2,1.7,1.5,2.9,3.2,6.2,22.9,,104,102
1111,Jarell Eddie,2015-16,24,WAS,NBA,SF,26,0,147,6.6,21.6,.308,5.0,15.6,.319,1.7,6.0,.278,2.7,2.7,1.000,0.7,7.0,7.6,1.7,1.7,0.3,0.3,1.7,20.9,,98,107
1112,Patrick Eddie,1991-92,24,NYK,NBA,C,4,0,13,7.9,35.8,.222,0.0,0.0,,7.9,35.8,.222,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,11.9,15.9,,55,110
1114,Kenton Edelin,1984-85,22,IND,NBA,SF,10,1,143,1.3,4.2,.308,0.0,0.0,,1.3,4.2,.308,1.0,2.6,.375,2.6,5.7,8.3,3.2,1.6,1.3,1.0,12.5,3.5,,93,107
1115,Charles Edge,1973-74,23,MMT,ABA,SF,78,,1948,7.7,15.4,.500,0.0,0.0,.000,7.7,15.4,.501,3.1,4.5,.681,6.2,9.7,15.9,1.7,1.6,1.7,3.2,3.4,18.5,,106,104
1117,Keith Edmonson,1982-83,22,ATL,NBA,SG,32,2,309,7.5,21.8,.345,0.0,0.3,.000,7.5,21.5,.350,2.5,4.2,.593,3.1,3.0,6.1,3.5,1.7,0.9,3.1,6.4,17.6,,81,105
1118,Tyus Edney,1995-96,22,SAC,NBA,PG,80,60,2481,6.3,15.3,.412,1.1,3.0,.368,5.2,12.3,.423,4.1,5.2,.782,1.3,2.9,4.2,10.2,1.8,0.1,4.0,4.2,17.8,,106,112
1119,Bill Edwards,1993-94,22,PHI,NBA,PF,3,0,44,2.3,20.5,.111,0.0,5.7,.000,2.3,14.8,.154,2.3,5.7,.400,5.7,10.3,16.0,4.6,3.4,1.1,4.6,6.8,6.8,,48,103
1120,Blue Edwards,1989-90,24,UTA,NBA,SF,82,49,1889,7.6,14.9,.507,0.2,0.8,.300,7.3,14.1,.519,3.9,5.4,.719,1.8,4.8,6.6,3.8,2.0,1.0,4.0,7.4,19.2,,101,106
1121,Corsley Edwards,2004-05,25,NOH,NBA,C,10,0,110,5.0,15.4,.323,0.0,0.0,,5.0,15.4,.323,3.5,6.0,.583,6.0,6.5,12.5,1.5,1.5,2.0,1.0,9.5,13.5,,93,107
1122,Doug Edwards,1993-94,23,ATL,NBA,PF,16,0,107,8.1,23.3,.347,0.0,0.5,.000,8.1,22.8,.354,4.3,7.6,.563,3.3,5.2,8.6,3.8,1.0,2.4,2.9,4.3,20.5,,88,104
1123,Franklin Edwards,1981-82,22,PHI,NBA,PG,42,3,291,10.7,24.6,.433,0.0,1.5,.000,10.7,23.1,.461,3.3,4.4,.741,1.6,2.8,4.4,7.4,2.6,0.8,3.9,6.1,24.6,,96,105
1124,James Edwards,1977-78,22,TOT,NBA,C,83,,2405,9.2,20.3,.453,,,,9.2,20.3,.453,5.0,7.8,.646,3.7,7.8,11.4,1.6,1.0,1.4,3.1,6.0,23.4,,99,101
1125,Jay Edwards,1989-90,21,LAC,NBA,SG,4,0,26,5.6,13.0,.429,0.0,3.7,.000,5.6,9.3,.600,1.9,5.6,.333,1.9,1.9,3.7,7.4,1.9,0.0,1.9,7.4,13.0,,98,111
1126,John Edwards,2004-05,23,IND,NBA,C,25,1,139,4.4,11.9,.367,0.0,0.0,,4.4,11.9,.367,2.8,5.5,.500,3.2,4.4,7.5,1.2,1.2,1.6,3.2,4.8,11.5,,80,107
1127,Kevin Edwards,1988-89,23,MIA,NBA,SG,79,62,2349,9.7,22.8,.425,0.2,0.8,.270,9.5,22.0,.431,3.0,4.0,.746,1.8,3.7,5.4,7.2,2.9,0.6,5.1,3.2,22.6,,92,109
1128,Shane Edwards,2013-14,26,CLE,NBA,SF,2,0,12,4.3,12.9,.333,0.0,0.0,,4.3,12.9,.333,0.0,0.0,,4.3,4.3,8.6,0.0,0.0,0.0,4.3,4.3,8.6,,64,114
1132,Craig Ehlo,1983-84,22,HOU,NBA,SG,7,0,63,8.0,19.6,.407,0.0,0.0,,8.0,19.6,.407,0.7,0.7,1.000,2.9,3.6,6.5,4.4,2.2,0.0,2.2,9.5,16.7,,95,109
1134,Howard Eisley,1994-95,22,TOT,NBA,PG,49,4,552,3.8,11.6,.328,0.9,3.5,.243,2.9,8.1,.365,2.9,3.8,.775,1.1,3.4,4.6,9.0,1.7,0.6,4.7,7.7,11.4,,87,114
1135,Obinna Ekezie,1999-00,24,VAN,NBA,PF,39,0,351,6.2,13.2,.466,0.0,0.0,,6.2,13.2,.466,6.5,9.6,.672,5.1,8.7,13.8,1.2,1.4,0.6,3.9,9.2,18.8,,102,107
1136,Khalid El-Amin,2000-01,21,CHI,NBA,PG,50,14,936,6.6,17.9,.370,1.6,4.8,.333,5.0,13.0,.383,3.2,4.1,.778,1.2,3.4,4.7,8.3,2.8,0.1,3.1,5.7,18.0,,97,108
1138,Mario Elie,1990-91,27,TOT,NBA,SF-SG,33,0,644,5.7,11.5,.497,0.3,0.7,.400,5.4,10.7,.503,5.4,6.4,.843,3.3,4.6,7.9,3.2,1.4,0.7,2.2,6.1,17.1,,122,112
1140,Henry Ellenson,2016-17,20,DET,NBA,PF,19,2,146,8.0,22.1,.359,3.5,12.1,.286,4.5,10.0,.448,1.4,2.8,.500,2.8,11.4,14.2,2.4,0.3,0.3,4.8,2.1,20.8,,82,109
1141,Wayne Ellington,2009-10,22,MIN,NBA,SG,76,1,1384,6.9,16.2,.424,2.3,5.8,.395,4.5,10.3,.441,2.2,2.5,.871,1.2,4.5,5.7,2.7,0.7,0.2,2.7,2.6,18.2,,101,115
1142,Bob Elliott,1978-79,23,NJN,NBA,PF,14,,282,6.4,11.3,.562,,,,6.4,11.3,.562,6.4,8.7,.732,2.5,6.2,8.7,3.4,0.9,0.6,4.0,5.3,19.1,,110,104
1143,Sean Elliott,1989-90,21,SAS,NBA,SF,81,69,2032,7.5,15.5,.481,0.0,0.2,.111,7.4,15.3,.486,4.5,5.2,.866,3.0,4.1,7.1,3.7,1.1,0.3,2.7,4.1,19.4,,112,109
1144,Bo Ellis,1977-78,23,DEN,NBA,PF,78,,1213,4.9,11.7,.416,,,,4.9,11.7,.416,2.6,3.8,.692,4.2,6.9,11.1,2.7,1.8,1.7,3.6,7.6,12.3,,91,100
1146,Dale Ellis,1983-84,23,DAL,NBA,SF,67,2,1059,10.3,22.6,.456,0.5,1.3,.414,9.8,21.2,.459,4.0,5.5,.719,4.9,6.6,11.4,2.6,1.9,0.4,3.6,5.4,25.1,,102,108
1147,Harold Ellis,1993-94,23,LAC,NBA,SF,49,16,923,8.3,15.2,.545,0.0,0.2,.000,8.3,15.0,.552,5.5,7.8,.711,4.9,3.1,8.0,1.6,3.8,0.1,2.2,5.1,22.1,,118,108
1149,LaPhonso Ellis,1992-93,22,DEN,NBA,PF,82,82,2749,8.5,16.8,.504,0.0,0.2,.154,8.4,16.5,.509,4.1,5.5,.748,4.8,8.2,13.0,2.6,1.3,1.9,2.7,5.1,21.1,,113,105
1150,LeRon Ellis,1991-92,22,LAC,NBA,C,29,0,103,8.2,24.1,.340,0.0,0.0,,8.2,24.1,.340,4.3,9.2,.474,5.8,5.8,11.6,0.5,2.9,4.3,5.3,5.3,20.8,,75,101
1152,Monta Ellis,2005-06,20,GSW,NBA,SG,49,3,886,7.7,18.5,.415,1.6,4.8,.341,6.0,13.7,.441,2.4,3.4,.712,1.3,4.8,6.1,4.5,1.9,0.6,3.4,4.0,19.4,,95,107
1153,Pervis Ellison,1989-90,22,SAC,NBA,C,34,22,866,6.4,14.4,.442,0.0,0.1,.000,6.4,14.3,.446,2.8,4.5,.628,3.7,7.6,11.2,3.7,0.9,3.3,3.6,7.6,15.5,,94,108
1154,Len Elmore,1974-75,22,INA,ABA,C,77,,1414,7.0,16.9,.417,0.0,0.0,1.000,7.0,16.9,.416,2.3,3.0,.774,4.8,8.0,12.8,1.1,2.2,2.9,2.7,7.8,16.4,,98,102
1155,Francisco Elson,2003-04,27,DEN,NBA,C,62,14,875,5.5,11.7,.472,0.0,0.1,.000,5.5,11.6,.475,1.8,2.6,.667,3.8,8.1,11.9,1.9,2.1,2.3,2.1,8.5,12.8,,103,100
1156,Darrell Elston,1974-75,22,VIR,ABA,SG,72,,1869,6.4,15.6,.408,0.1,0.5,.167,6.3,15.1,.415,2.4,3.1,.756,1.2,2.9,4.1,5.1,2.1,0.2,3.2,4.2,15.2,,91,109
1157,Melvin Ely,2002-03,24,LAC,NBA,C,52,7,802,6.0,12.2,.495,0.0,0.0,,6.0,12.2,.495,3.4,4.8,.703,4.2,7.2,11.4,1.0,0.7,2.1,3.3,6.2,15.5,,100,107
1158,Joel Embiid,2016-17,22,PHI,NBA,C,31,31,786,12.4,26.6,.466,2.2,6.1,.367,10.2,20.5,.495,11.8,15.1,.783,3.8,11.3,15.1,4.1,1.7,4.7,7.3,6.9,38.9,,103,102
1160,Andre Emmett,2004-05,22,MEM,NBA,SG,8,0,28,3.9,11.6,.333,0.0,0.0,,3.9,11.6,.333,5.8,9.7,.600,0.0,3.9,3.9,0.0,0.0,0.0,1.9,7.8,13.6,,82,110
1162,Chris Engler,1982-83,23,GSW,NBA,C,54,1,369,4.8,11.8,.404,0.0,0.0,,4.8,11.8,.404,0.6,2.0,.313,5.4,7.6,13.0,1.4,0.9,2.1,3.0,11.9,10.1,,86,107
1163,Wayne Englestad,1988-89,22,DEN,NBA,PF,11,0,50,9.8,25.9,.379,0.0,0.0,,9.8,25.9,.379,5.4,8.9,.600,4.5,9.8,14.3,6.2,0.9,0.0,2.7,10.7,25.0,,96,107
1164,A.J. English,1990-91,23,WSB,NBA,SG,70,12,1443,8.6,19.5,.439,0.1,1.1,.097,8.5,18.4,.458,3.8,5.4,.707,2.3,2.8,5.0,6.0,0.9,0.5,3.9,4.3,21.0,,97,113
1165,Alex English,1976-77,23,MIL,NBA,SF,60,,648,9.0,19.0,.477,,,,9.0,19.0,.477,3.1,4.1,.767,4.7,6.8,11.5,1.7,1.2,1.2,,5.3,21.2,,,103
1167,Jo Jo English,1992-93,22,CHI,NBA,SG,6,0,31,5.0,16.7,.300,0.0,5.0,.000,5.0,11.7,.429,0.0,3.3,.000,3.3,6.7,10.0,1.7,5.0,3.3,6.7,8.4,10.0,,53,97
1168,Kim English,2012-13,24,DET,NBA,SG,41,0,407,5.5,14.5,.375,1.8,6.5,.280,3.6,8.1,.452,2.7,3.8,.724,1.0,3.8,4.8,3.4,2.1,0.4,2.5,6.0,15.5,,96,110
1169,Scott English,1973-74,23,VIR,ABA,SF,5,,48,2.9,14.3,.200,0.0,0.0,,2.9,14.3,.200,3.8,3.8,1.000,2.9,12.4,15.3,3.8,2.9,0.0,8.6,8.6,9.5,,55,98
1171,James Ennis,2014-15,24,MIA,NBA,SF,62,3,1051,5.1,12.4,.409,1.6,4.8,.326,3.5,7.6,.461,4.0,4.7,.840,2.6,6.3,8.8,2.4,1.3,0.9,2.0,4.5,15.7,,110,108
1172,Tyler Ennis,2014-15,20,TOT,NBA,PG,33,1,411,6.4,17.8,.361,1.5,5.3,.279,4.9,12.5,.396,0.6,0.9,.714,0.9,3.5,4.3,9.0,2.2,0.6,5.2,4.5,15.0,,83,105
1174,Semih Erden,2010-11,24,TOT,NBA,C,41,8,595,5.5,9.9,.559,0.0,0.0,,5.5,9.9,.559,3.5,5.3,.650,3.3,7.2,10.5,1.8,1.3,2.1,3.0,9.3,14.5,,105,101
1177,Julius Erving,1973-74,23,NYA,ABA,SF,84,,3398,12.3,24.0,.512,0.2,0.6,.395,12.1,23.4,.515,6.1,8.0,.766,3.5,8.6,12.1,5.8,2.6,2.7,4.6,3.6,30.9,,111,94
1178,Evan Eschmeyer,1999-00,24,NJN,NBA,C,31,5,373,5.3,10.0,.528,0.0,0.0,,5.3,10.0,.528,2.1,4.2,.500,5.6,9.5,15.0,2.9,1.1,2.9,2.9,11.7,12.7,,105,103
1180,Vincenzo Esposito,1995-96,27,TOR,NBA,PG,30,0,282,6.6,18.3,.360,2.4,10.2,.232,4.2,8.0,.523,5.7,7.1,.795,0.7,2.2,2.9,4.2,1.3,0.0,7.1,4.9,21.2,,84,117
1183,Brian Evans,1996-97,23,ORL,NBA,SF,14,0,59,7.4,20.3,.364,3.7,7.4,.500,3.7,12.9,.286,0.0,0.0,,0.9,6.4,7.4,6.4,0.9,1.8,1.8,5.5,18.4,,103,107
1184,Earl Evans,1979-80,24,DET,NBA,PF,36,,381,7.4,16.5,.450,0.8,2.1,.389,6.6,14.3,.459,2.8,4.9,.571,3.1,5.8,8.8,4.4,1.6,0.1,4.2,7.5,18.5,,95,110
1185,Jawun Evans,2017-18,21,LAC,NBA,PG,38,4,701,5.7,16.6,.343,0.9,3.4,.265,4.8,13.2,.363,2.6,3.3,.787,0.6,4.8,5.3,6.3,2.4,0.4,2.9,5.7,14.8,,88,109
1186,Jeremy Evans,2010-11,23,UTA,NBA,SF,49,3,463,8.7,13.1,.661,0.0,0.1,.000,8.7,13.0,.667,3.0,4.2,.703,4.1,6.9,11.0,2.7,1.9,1.9,2.2,5.7,20.3,,128,109
1187,Maurice Evans,2001-02,23,MIN,NBA,SG,10,0,45,10.6,22.4,.474,0.0,3.5,.000,10.6,18.9,.563,3.5,4.7,.750,3.5,1.2,4.7,4.7,0.0,0.0,2.4,10.6,24.7,,108,113
1188,Mike Evans,1979-80,24,SAS,NBA,SG,79,,1246,7.3,16.3,.448,0.4,1.5,.286,6.9,14.9,.464,2.0,3.0,.682,1.0,2.7,3.8,8.1,2.1,0.3,4.5,6.8,17.1,,94,110
1189,Reggie Evans,2002-03,22,SEA,NBA,PF,67,60,1365,2.6,5.6,.471,0.0,0.0,,2.6,5.6,.471,3.2,6.2,.519,6.7,11.1,17.8,1.4,1.5,0.4,2.1,6.9,8.5,,109,102
1190,Tyreke Evans,2009-10,20,SAC,NBA,SG,72,72,2677,10.2,22.2,.458,0.7,2.7,.255,9.5,19.5,.485,6.6,8.9,.748,1.3,6.0,7.2,7.9,2.1,0.5,4.1,3.9,27.7,,107,110
1191,Daniel Ewing,2005-06,22,LAC,NBA,SG,66,5,971,5.2,13.7,.380,1.2,4.2,.282,4.0,9.5,.424,1.9,2.5,.783,1.2,3.3,4.6,4.5,2.0,0.3,3.1,4.6,13.6,,90,106
1192,Patrick Ewing,1985-86,23,NYK,NBA,C,50,50,1771,10.6,22.4,.474,0.0,0.1,.000,10.6,22.2,.477,6.2,8.4,.739,3.4,9.0,12.4,2.8,1.5,2.8,4.7,5.3,27.4,,99,101
1193,Patrick Ewing,2010-11,26,NOH,NBA,SF,7,0,19,0.0,14.2,.000,0.0,5.7,.000,0.0,8.5,.000,8.5,11.4,.750,2.8,2.8,5.7,5.7,0.0,2.8,2.8,2.8,8.5,,64,109
1194,Dante Exum,2014-15,19,UTA,NBA,PG,82,41,1817,4.2,12.2,.349,2.4,7.7,.314,1.8,4.4,.408,0.6,0.9,.625,0.8,3.0,3.8,5.8,1.2,0.4,3.4,4.3,11.5,,90,109
1195,Christian Eyenga,2010-11,21,CLE,NBA,SF,44,18,947,7.1,16.7,.425,1.4,5.0,.275,5.7,11.7,.488,1.0,1.5,.643,1.5,5.2,6.7,1.9,1.9,1.5,2.6,4.2,16.5,,90,111
1196,Festus Ezeli,2012-13,23,GSW,NBA,C,78,41,1120,3.4,7.7,.438,0.0,0.0,,3.4,7.7,.438,2.0,3.7,.531,6.4,7.8,14.2,1.0,1.0,3.4,2.9,7.1,8.7,,97,103
1201,Kenneth Faried,2011-12,22,DEN,NBA,PF,46,39,1037,8.9,15.2,.586,0.0,0.0,,8.9,15.2,.586,5.4,8.1,.665,7.0,10.3,17.3,1.8,1.7,2.3,2.7,5.7,23.1,,123,103
1203,Jordan Farmar,2006-07,20,LAL,NBA,PG,72,2,1090,5.8,13.8,.422,2.1,6.4,.328,3.7,7.4,.503,1.3,1.8,.711,1.0,4.6,5.6,6.4,2.1,0.3,3.4,3.6,15.1,,99,110
1204,Desmon Farmer,2006-07,25,SEA,NBA,SG,8,0,32,8.2,24.5,.333,3.3,13.1,.250,4.9,11.4,.429,1.6,1.6,1.000,0.0,1.6,1.6,14.7,1.6,0.0,1.6,3.3,21.2,,108,114
1205,Jim Farmer,1987-88,23,DAL,NBA,SG,30,0,157,8.2,21.7,.377,0.0,1.9,.000,8.2,19.9,.413,2.8,3.2,.900,2.8,2.8,5.7,5.0,0.9,0.3,6.9,5.7,19.2,,80,112
1207,Tony Farmer,1997-98,28,CHH,NBA,C,27,2,169,5.4,16.8,.321,0.6,2.9,.222,4.8,14.0,.341,9.8,12.4,.795,5.1,5.1,10.2,1.6,3.2,1.3,2.9,7.3,21.3,,104,103
1209,Vitor Faverani,2013-14,25,BOS,NBA,C,37,8,488,6.7,15.5,.435,1.3,4.2,.300,5.5,11.3,.486,2.5,3.9,.649,4.4,9.1,13.5,1.7,1.5,2.8,4.3,7.8,17.3,,92,104
1210,Derrick Favors,2010-11,19,TOT,NBA,PF,78,27,1535,7.5,14.4,.517,0.0,0.0,,7.5,14.4,.517,3.6,6.0,.595,5.9,8.4,14.3,1.4,1.0,2.4,2.7,8.5,18.5,,108,108
1211,Nick Fazekas,2007-08,22,TOT,NBA,PF,26,0,269,8.9,15.9,.561,0.0,0.4,.000,8.9,15.5,.575,2.9,4.3,.682,6.6,10.7,17.3,2.1,1.6,2.1,2.5,4.8,20.8,,115,105
1215,Jamie Feick,1996-97,22,TOT,NBA,PF-C,41,0,624,4.9,13.8,.357,0.4,1.2,.357,4.5,12.6,.357,3.0,5.9,.507,7.2,11.6,18.8,2.3,1.4,1.2,2.7,6.9,13.3,,94,109
1218,Dave Feitl,1986-87,24,HOU,NBA,C,62,1,498,8.5,19.5,.436,0.0,0.1,.000,8.5,19.4,.438,5.1,6.9,.746,3.8,7.5,11.3,2.1,0.9,0.4,3.7,8.0,22.1,,98,107
1219,Kay Felder,2016-17,21,CLE,NBA,PG,42,0,386,8.0,20.4,.392,0.9,2.8,.318,7.1,17.6,.404,4.5,6.3,.714,0.4,4.9,5.3,7.5,2.3,0.9,3.9,4.9,21.5,,95,110
1220,Cristiano Felicio,2015-16,23,CHI,NBA,C,31,4,321,6.2,11.2,.556,0.0,0.6,.000,6.2,10.6,.588,3.9,5.5,.714,4.7,11.2,15.9,4.1,0.9,2.0,2.0,4.8,16.4,,123,104
1221,Carrick Felix,2013-14,23,CLE,NBA,SG,7,0,38,9.5,19.0,.500,2.7,6.8,.400,6.8,12.2,.556,4.1,5.4,.750,1.4,6.8,8.1,5.4,0.0,0.0,5.4,5.4,25.8,,104,112
1222,Noel Felix,2005-06,24,SEA,NBA,SF,12,0,82,3.8,16.0,.240,0.6,1.9,.333,3.2,14.1,.227,3.2,5.1,.625,1.9,6.4,8.3,1.3,1.3,1.9,5.1,8.3,11.5,,62,114
1224,Raymond Felton,2005-06,21,CHA,NBA,PG,80,54,2406,7.4,18.9,.391,2.1,5.8,.358,5.3,13.1,.405,3.4,4.7,.725,1.6,4.0,5.7,9.5,2.2,0.2,3.9,3.9,20.2,,100,109
1227,Desmond Ferguson,2003-04,26,POR,NBA,SF,7,0,32,8.7,20.9,.417,5.2,13.9,.375,3.5,7.0,.500,0.0,3.5,.000,0.0,7.0,7.0,1.7,0.0,0.0,1.7,0.0,22.6,,97,110
1228,Terrance Ferguson,2017-18,19,OKC,NBA,SG,47,12,578,4.6,11.4,.402,2.3,7.8,.300,2.2,3.6,.619,0.4,0.5,.833,1.5,1.6,3.1,1.1,1.6,0.6,0.8,6.0,11.9,,110,111
1229,Rudy Fernandez,2008-09,23,POR,NBA,SG,78,4,1993,7.4,17.5,.425,4.4,11.1,.399,3.0,6.4,.470,3.3,4.0,.839,1.3,4.4,5.8,4.4,1.9,0.3,2.4,3.1,22.7,,120,109
1230,Eric Fernsten,1975-76,22,TOT,NBA,C,37,,268,5.9,15.4,.384,,,,5.9,15.4,.384,4.6,6.6,.703,4.5,8.0,12.5,3.4,1.3,2.5,,3.8,16.4,,,96
1232,Rolando Ferreira,1988-89,24,POR,NBA,C,12,0,34,1.4,24.5,.056,0.0,0.0,,1.4,24.5,.056,9.5,10.9,.875,5.4,12.2,17.7,1.4,0.0,1.4,8.2,9.5,12.2,,51,107
1233,Duane Ferrell,1988-89,23,ATL,NBA,SF,41,0,231,7.4,17.5,.422,0.0,0.0,,7.4,17.5,.422,6.3,9.3,.682,4.0,4.6,8.7,2.1,1.5,1.3,2.5,7.0,21.1,,106,109
1234,Yogi Ferrell,2016-17,23,TOT,NBA,PG,46,29,1197,6.9,16.9,.406,2.9,7.6,.386,4.0,9.4,.422,3.2,3.8,.831,0.9,3.9,4.8,7.4,1.8,0.4,3.0,3.9,19.8,,106,111
1237,Danny Ferry,1990-91,24,CLE,NBA,PF,81,2,1661,8.4,19.5,.428,0.7,2.3,.299,7.7,17.2,.445,3.8,4.6,.816,3.0,5.7,8.7,4.3,1.3,0.8,3.6,7.0,21.2,,98,110
1238,Kyrylo Fesenko,2007-08,21,UTA,NBA,C,9,0,70,4.4,11.8,.375,0.0,0.0,,4.4,11.8,.375,1.5,2.9,.500,10.3,8.1,18.4,1.5,0.0,2.2,5.9,14.0,10.3,,84,107
1240,Kenny Fields,1984-85,22,MIL,NBA,SF,51,1,535,7.6,17.2,.440,0.0,0.0,,7.6,17.2,.440,2.4,3.2,.750,3.7,3.9,7.6,3.4,0.8,0.9,2.9,7.6,17.5,,100,107
1241,Landry Fields,2010-11,22,NYK,NBA,SG,82,81,2541,5.9,11.9,.497,1.7,4.3,.393,4.2,7.6,.556,2.2,2.9,.769,2.1,8.2,10.3,3.1,1.6,0.3,2.1,2.3,15.8,,115,110
1244,Larry Finch,1973-74,22,MMT,ABA,SG,65,,1154,6.8,16.7,.411,0.3,1.1,.269,6.6,15.6,.421,4.5,5.7,.794,1.0,2.1,3.1,4.6,1.1,0.0,4.0,6.8,18.5,,95,112
1246,Michael Finley,1995-96,22,PHO,NBA,SF,82,72,3212,7.5,15.6,.476,1.0,3.0,.328,6.5,12.7,.511,3.9,5.2,.749,2.2,3.8,6.0,4.6,1.4,0.5,2.1,3.2,19.8,,114,113
1248,Dorian Finney-Smith,2016-17,23,DAL,NBA,PF,81,35,1642,3.9,10.6,.372,1.8,6.1,.293,2.2,4.5,.479,1.5,1.9,.754,1.7,5.3,7.0,2.1,1.6,0.8,1.4,4.0,11.1,,99,110
1249,Matt Fish,1994-95,25,LAC,NBA,C,26,8,370,6.7,14.2,.476,0.0,0.1,.000,6.7,14.0,.480,3.4,5.1,.676,4.4,7.2,11.6,2.3,2.2,1.0,3.9,9.6,16.9,,97,109
1250,Derek Fisher,1996-97,22,LAL,NBA,PG,80,3,921,5.9,15.0,.397,1.3,4.2,.301,4.7,10.8,.434,4.5,6.9,.658,1.4,4.1,5.5,6.8,2.3,0.3,4.1,5.0,17.7,,98,106
1252,Gerald Fitch,2005-06,23,MIA,NBA,PG,18,1,239,6.6,19.5,.337,1.5,5.7,.269,5.0,13.8,.365,3.7,5.0,.739,1.5,5.0,6.6,7.2,1.5,1.1,3.3,6.1,18.4,,93,105
1255,Marcus Fizer,2000-01,22,CHI,NBA,PF,72,13,1580,9.5,22.0,.430,0.3,1.3,.256,9.1,20.6,.442,4.0,5.5,.727,2.6,8.1,10.6,2.6,1.0,0.6,4.2,6.0,23.2,,89,108
1259,Vern Fleming,1984-85,22,IND,NBA,PG,80,65,2486,8.0,16.9,.470,0.0,0.1,.000,8.0,16.9,.472,4.8,6.2,.767,2.7,3.2,5.9,4.5,1.8,0.1,3.6,4.3,20.7,,104,110
1260,Luis Flores,2004-05,23,TOT,NBA,PG,16,0,77,9.4,19.4,.483,3.3,6.7,.500,6.0,12.7,.474,1.3,1.3,1.000,0.7,1.3,2.0,7.4,1.3,0.0,7.4,6.0,23.4,,93,112
1261,Bruce Flowers,1982-83,25,CLE,NBA,PF,53,5,699,7.7,14.5,.534,0.0,0.1,.000,7.7,14.4,.539,2.9,3.7,.774,5.0,7.7,12.7,3.3,1.3,0.8,3.0,7.0,18.4,,112,106
1262,Sleepy Floyd,1982-83,22,TOT,NBA,PG,76,17,1248,8.4,19.5,.429,0.4,0.9,.400,8.0,18.6,.430,5.5,6.7,.833,2.1,3.0,5.1,5.1,2.1,0.6,3.9,5.0,22.6,,103,106
1263,Jonny Flynn,2009-10,20,MIN,NBA,PG,81,81,2339,8.5,20.3,.417,1.6,4.6,.358,6.8,15.7,.434,4.8,5.8,.826,0.5,3.6,4.1,7.6,1.8,0.0,5.0,2.1,23.4,,97,114
1264,Mike Flynn,1975-76,22,INA,ABA,SG,67,,1097,6.7,17.8,.378,1.0,4.0,.253,5.7,13.8,.415,2.6,4.5,.577,2.6,2.8,5.4,5.4,1.8,0.4,3.3,4.6,17.1,,93,107
1267,Isaac Fontaine,2001-02,26,MEM,NBA,SG,6,0,75,2.1,9.8,.214,0.7,3.5,.200,1.4,6.3,.222,2.8,4.2,.667,0.0,3.5,3.5,2.8,0.0,0.0,2.8,4.2,7.7,,66,113
1269,Jeff Foote,2011-12,24,NOH,NBA,C,4,0,39,2.8,8.4,.333,0.0,0.0,,2.8,8.4,.333,0.0,0.0,,1.4,7.0,8.4,0.0,0.0,1.4,2.8,7.0,5.6,,58,108
1270,Bryn Forbes,2016-17,23,SAS,NBA,SG,36,0,285,6.4,17.7,.364,3.0,9.5,.321,3.4,8.2,.413,0.9,1.1,.833,0.4,3.8,4.1,4.1,0.2,0.0,2.0,3.6,16.8,,95,110
1271,Gary Forbes,2010-11,25,DEN,NBA,SF,63,11,791,7.9,17.3,.454,1.2,3.7,.328,6.7,13.7,.488,3.7,5.5,.678,1.8,5.6,7.4,3.1,1.5,0.4,2.9,4.9,20.7,,101,109
1272,Alphonso Ford,1993-94,22,SEA,NBA,PG,6,0,16,22.1,41.0,.538,3.2,3.2,1.000,18.9,37.8,.500,3.2,6.3,.500,0.0,0.0,0.0,3.2,6.3,0.0,3.2,6.3,50.5,,108,99
