,Name,Year,Age,Team,League,Position,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
23,Bam Adebayo,2017-18,20,MIA,NBA,C,53,11,20.5,2.7,4.8,.555,0.0,0.1,.000,2.7,4.7,.568,.555,2.0,2.8,.730,1.6,3.8,5.5,1.6,0.5,0.7,0.9,2.0,7.4
25,Jeff Adrien,2010-11,24,GSW,NBA,PF,23,0,8.5,1.0,2.3,.426,0.0,0.0,,1.0,2.3,.426,.426,0.5,0.8,.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5
26,Arron Afflalo,2007-08,22,DET,NBA,SG,75,9,12.9,1.3,3.2,.411,0.1,0.6,.208,1.2,2.6,.461,.432,0.9,1.2,.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
27,Maurice Ager,2006-07,22,DAL,NBA,SG,32,1,6.7,0.7,2.2,.314,0.2,0.5,.333,0.5,1.7,.309,.350,0.6,1.0,.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2
28,Mark Aguirre,1981-82,22,DAL,NBA,SF,51,20,28.8,7.5,16.1,.465,0.5,1.4,.352,7.0,14.7,.475,.480,3.3,4.8,.680,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
29,Blake Ahearn,2007-08,23,MIA,NBA,PG,12,0,14.8,1.3,4.8,.263,0.8,2.8,.294,0.4,1.9,.217,.351,2.5,2.6,.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8
30,Danny Ainge,1981-82,22,BOS,NBA,SG,53,1,10.6,1.5,4.2,.357,0.1,0.3,.294,1.4,3.8,.363,.369,1.1,1.2,.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
32,Alexis Ajinca,2008-09,20,CHA,NBA,PF,31,4,5.9,0.8,2.2,.362,0.0,0.1,.000,0.8,2.2,.373,.362,0.6,0.9,.714,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3
34,Josh Akognon,2012-13,26,DAL,NBA,PG,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
35,Solomon Alabi,2010-11,22,TOR,NBA,C,12,0,4.9,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.0,0.2,.000,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5
36,Mark Alarie,1986-87,23,DEN,NBA,PF,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9
38,Furkan Aldemir,2014-15,23,PHI,NBA,PF,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,2010-11,22,OKC,NBA,C,18,0,7.9,0.4,0.8,.533,0.0,0.0,,0.4,0.8,.533,.533,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0
40,LaMarcus Aldridge,2006-07,21,POR,NBA,C,63,22,22.1,3.8,7.6,.503,0.0,0.0,.000,3.8,7.6,.505,.503,1.3,1.8,.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0
41,Chuck Aleksinas,1984-85,25,GSW,NBA,C,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
42,Cliff Alexander,2015-16,20,POR,NBA,PF,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
