,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
1210,Derrick Favors,Career,,,NBA,,538,348,14008,9.4,18.2,.515,0.0,0.2,.177,9.3,18.0,.519,4.4,6.6,.666,4.9,9.5,14.5,2.2,1.6,2.5,3.0,5.5,23.2,,109,104
1211,Nick Fazekas,Career,,,NBA,,26,0,269,8.9,15.9,.561,0.0,0.4,.000,8.9,15.5,.575,2.9,4.3,.682,6.6,10.7,17.3,2.1,1.6,2.1,2.5,4.8,20.8,,115,105
1215,Jamie Feick,Career,,,NBA,,201,35,4316,4.3,10.1,.424,0.1,0.4,.400,4.1,9.7,.425,2.4,3.8,.629,6.3,11.2,17.5,1.7,1.4,1.1,1.9,5.3,11.1,,106,104
1218,Dave Feitl,Career,,,NBA,,275,58,3001,7.5,17.3,.433,0.0,0.1,.000,7.5,17.2,.436,4.0,5.3,.751,3.8,9.1,13.0,2.0,0.7,0.7,3.7,7.0,19.0,,95,109
1219,Kay Felder,Career,,,NBA,,57,0,523,7.8,21.5,.363,1.0,3.9,.268,6.7,17.6,.384,4.4,5.8,.754,0.5,4.8,5.3,7.4,2.0,0.8,4.4,4.7,21.0,,89,110
1220,Cristiano Felicio,Career,,,NBA,,133,9,1880,6.2,10.7,.582,0.0,0.1,.000,6.2,10.6,.588,2.9,4.5,.649,5.1,8.6,13.7,2.5,1.0,1.0,2.0,5.5,15.4,,122,108
1221,Carrick Felix,Career,,,NBA,,7,0,38,9.5,19.0,.500,2.7,6.8,.400,6.8,12.2,.556,4.1,5.4,.750,1.4,6.8,8.1,5.4,0.0,0.0,5.4,5.4,25.8,,104,112
1222,Noel Felix,Career,,,NBA,,12,0,82,3.8,16.0,.240,0.6,1.9,.333,3.2,14.1,.227,3.2,5.1,.625,1.9,6.4,8.3,1.3,1.3,1.9,5.1,8.3,11.5,,62,114
1224,Raymond Felton,Career,,,NBA,,920,659,28179,7.4,17.9,.413,1.6,5.0,.329,5.8,13.0,.445,3.1,4.0,.789,1.0,4.2,5.2,9.3,2.1,0.4,3.7,3.4,19.6,,103,109
1227,Desmond Ferguson,Career,,,NBA,,7,0,32,8.7,20.9,.417,5.2,13.9,.375,3.5,7.0,.500,0.0,3.5,.000,0.0,7.0,7.0,1.7,0.0,0.0,1.7,0.0,22.6,,97,110
1228,Terrance Ferguson,Career,,,NBA,,48,12,587,4.8,11.5,.415,2.5,7.8,.315,2.3,3.7,.628,0.4,0.5,.833,1.4,1.6,3.1,1.2,1.5,0.7,0.8,6.1,12.4,,113,111
1229,Rudy Fernandez,Career,,,NBA,,249,10,5965,6.8,16.9,.399,3.8,10.5,.360,3.0,6.4,.463,3.3,3.9,.840,1.2,4.4,5.5,5.1,2.3,0.4,2.6,3.4,20.6,,112,108
1230,Eric Fernsten,Career,,,NBA,,218,0,1643,5.6,12.6,.445,0.0,0.0,,5.6,12.6,.445,3.8,5.6,.675,4.2,6.6,10.8,2.4,1.5,1.5,2.1,5.0,15.0,,105,101
1232,Rolando Ferreira,Career,,,NBA,,12,0,34,1.4,24.5,.056,0.0,0.0,,1.4,24.5,.056,9.5,10.9,.875,5.4,12.2,17.7,1.4,0.0,1.4,8.2,9.5,12.2,,51,107
1233,Duane Ferrell,Career,,,NBA,,583,72,8734,8.2,17.2,.480,0.2,0.8,.288,8.0,16.3,.490,4.8,6.4,.750,3.2,3.4,6.6,3.0,1.8,0.6,3.0,5.2,21.5,,108,110
1234,Yogi Ferrell,Career,,,NBA,,109,46,3022,6.6,15.7,.419,2.9,7.5,.385,3.7,8.2,.450,2.4,2.9,.822,0.8,4.6,5.4,5.2,1.5,0.2,2.3,3.7,18.4,,106,111
1237,Danny Ferry,Career,,,NBA,,917,186,18133,7.5,16.7,.446,2.0,5.1,.393,5.4,11.6,.470,2.2,2.7,.840,1.9,5.7,7.6,3.5,1.1,0.9,2.4,5.9,19.2,,106,106
1238,Kyrylo Fesenko,Career,,,NBA,,135,7,1107,5.9,11.8,.496,0.0,0.1,.000,5.9,11.7,.500,2.6,6.3,.410,4.5,8.1,12.6,1.9,0.9,2.5,3.1,10.5,14.3,,95,107
1240,Kenny Fields,Career,,,NBA,,184,21,2692,8.1,17.1,.474,0.1,0.3,.188,8.1,16.8,.479,3.7,5.0,.733,3.1,5.0,8.1,3.3,1.7,0.7,3.2,6.9,20.0,,103,107
1241,Landry Fields,Career,,,NBA,,255,176,6010,5.8,12.3,.473,1.0,3.1,.332,4.8,9.3,.520,2.1,3.1,.666,2.1,7.2,9.3,3.6,1.8,0.4,2.3,2.6,14.8,,107,107
1244,Larry Finch,Career,,,ABA,,128,,3042,6.8,15.7,.431,0.4,1.3,.342,6.4,14.5,.439,3.5,4.3,.829,1.1,2.4,3.4,4.8,1.2,0.1,2.9,5.2,17.5,,100,112
1246,Michael Finley,Career,,,NBA,,1103,875,37996,9.2,20.8,.444,2.0,5.4,.375,7.2,15.5,.467,3.4,4.2,.811,1.5,5.1,6.6,4.5,1.4,0.4,2.2,2.5,23.9,,108,108
1248,Dorian Finney-Smith,Career,,,NBA,,89,36,1736,4.0,10.6,.377,1.8,6.1,.298,2.2,4.5,.487,1.4,1.9,.746,1.8,5.1,6.9,2.2,1.6,0.8,1.6,4.1,11.3,,99,110
1249,Matt Fish,Career,,,NBA,,50,9,512,7.1,14.2,.500,0.0,0.1,.000,7.1,14.1,.504,3.5,5.6,.625,4.3,6.7,11.0,2.5,1.9,1.4,3.3,9.1,17.7,,102,109
1250,Derek Fisher,Career,,,NBA,,1287,731,32719,5.9,14.7,.399,2.0,5.3,.374,3.9,9.5,.413,3.2,3.9,.817,0.7,3.5,4.2,6.0,2.1,0.2,2.3,4.2,16.9,,107,107
1252,Gerald Fitch,Career,,,NBA,,18,1,239,6.6,19.5,.337,1.5,5.7,.269,5.0,13.8,.365,3.7,5.0,.739,1.5,5.0,6.6,7.2,1.5,1.1,3.3,6.1,18.4,,93,105
1255,Marcus Fizer,Career,,,NBA,,289,35,6032,9.7,22.2,.435,0.2,1.0,.191,9.5,21.3,.446,4.9,7.0,.691,3.3,8.5,11.7,3.1,1.2,0.7,3.7,5.7,24.4,,94,107
1259,Vern Fleming,Career,,,NBA,,893,523,24721,7.8,15.7,.498,0.1,0.4,.181,7.8,15.3,.507,4.3,5.6,.764,1.9,4.0,6.0,8.5,1.8,0.2,3.5,4.0,20.0,,111,110
1260,Luis Flores,Career,,,NBA,,16,0,77,9.4,19.4,.483,3.3,6.7,.500,6.0,12.7,.474,1.3,1.3,1.000,0.7,1.3,2.0,7.4,1.3,0.0,7.4,6.0,23.4,,93,112
1261,Bruce Flowers,Career,,,NBA,,53,5,699,7.7,14.5,.534,0.0,0.1,.000,7.7,14.4,.539,2.9,3.7,.774,5.0,7.7,12.7,3.3,1.3,0.8,3.0,7.0,18.4,,112,106
1262,Sleepy Floyd,Career,,,NBA,,957,584,26383,8.0,18.1,.444,0.9,2.9,.324,7.1,15.2,.467,5.1,6.3,.815,1.1,3.4,4.5,9.3,2.0,0.4,4.1,3.6,22.1,,108,110
1263,Jonny Flynn,Career,,,NBA,,163,90,3738,7.4,18.5,.400,1.6,4.7,.338,5.8,13.8,.420,3.8,4.7,.809,0.6,3.5,4.1,8.5,1.6,0.1,5.1,2.4,20.2,,94,114
1264,Mike Flynn,Career,,,TOT,,211,,3376,7.1,16.9,.419,1.0,4.0,.253,6.8,15.6,.433,2.9,4.6,.629,2.5,3.3,5.8,6.0,1.9,0.3,2.1,3.6,17.4,,94,105
1267,Isaac Fontaine,Career,,,NBA,,6,0,75,2.1,9.8,.214,0.7,3.5,.200,1.4,6.3,.222,2.8,4.2,.667,0.0,3.5,3.5,2.8,0.0,0.0,2.8,4.2,7.7,,66,113
1269,Jeff Foote,Career,,,NBA,,4,0,39,2.8,8.4,.333,0.0,0.0,,2.8,8.4,.333,0.0,0.0,,1.4,7.0,8.4,0.0,0.0,1.4,2.8,7.0,5.6,,58,108
1270,Bryn Forbes,Career,,,NBA,,98,12,1538,7.0,17.2,.404,3.1,8.4,.365,3.9,8.8,.442,1.3,2.0,.629,0.4,3.4,3.8,2.8,0.8,0.1,1.5,3.7,18.3,,101,110
1271,Gary Forbes,Career,,,NBA,,111,13,1504,8.1,18.8,.434,1.7,4.9,.340,6.5,13.9,.467,4.3,6.1,.702,1.9,5.6,7.5,3.6,1.6,0.3,3.4,4.6,22.2,,99,107
1272,Alphonso Ford,Career,,,NBA,,11,0,114,7.4,23.9,.308,0.5,4.6,.100,6.9,19.3,.357,0.9,1.8,.500,3.7,5.5,9.2,4.6,1.4,0.0,4.1,3.2,16.1,,72,111
1273,Alton Ford,Career,,,NBA,,73,0,524,7.0,13.9,.507,0.0,0.0,,7.0,13.9,.507,4.6,6.6,.697,3.5,8.9,12.5,1.1,0.6,0.8,3.7,11.6,18.7,,101,104
1275,Chris Ford,Career,,,NBA,,720,201,20506,6.6,14.4,.460,0.9,2.5,.375,6.3,13.7,.464,1.8,2.4,.731,1.8,2.9,4.8,5.6,2.6,0.4,1.6,3.8,15.3,,103,102
1276,Don Ford,Career,,,NBA,,474,1,9301,6.4,13.9,.464,0.0,0.1,.143,6.4,13.8,.465,1.9,2.5,.773,2.7,5.6,8.3,3.2,1.3,0.7,1.5,4.9,14.8,,102,103
1278,Phil Ford,Career,,,NBA,,482,184,13503,7.3,15.7,.467,0.1,0.5,.210,7.2,15.3,.474,4.5,5.5,.820,0.6,2.4,2.9,10.6,2.0,0.1,4.6,4.4,19.2,,103,106
1279,Sharrod Ford,Career,,,NBA,,3,0,13,7.7,11.6,.667,0.0,0.0,,7.7,11.6,.667,0.0,0.0,,3.9,7.7,11.6,0.0,0.0,3.9,7.7,27.0,15.4,,78,104
1280,Sherell Ford,Career,,,NBA,,28,1,139,11.0,29.4,.375,1.5,9.2,.160,9.6,20.2,.473,9.6,12.5,.765,4.4,4.4,8.8,1.8,2.9,0.4,2.2,9.9,33.1,,104,102
1281,T.J. Ford,Career,,,NBA,,429,306,11882,7.9,18.3,.433,0.6,1.9,.289,7.4,16.4,.450,4.4,5.4,.815,1.3,4.5,5.8,10.8,2.1,0.2,4.5,4.2,20.8,,102,108
1284,Joseph Forte,Career,,,NBA,,25,0,125,4.7,20.2,.234,0.0,2.6,.000,4.7,17.6,.268,3.4,4.3,.800,2.1,5.2,7.3,7.3,2.6,0.0,5.6,3.0,12.9,,66,104
1285,Courtney Fortson,Career,,,NBA,,10,0,95,6.1,17.9,.344,1.7,7.3,.231,4.5,10.6,.421,5.6,8.4,.667,3.4,5.0,8.4,5.6,1.7,0.0,5.6,2.8,19.5,,89,108
1286,Danny Fortson,Career,,,NBA,,440,175,8832,7.1,15.0,.472,0.0,0.1,.167,7.1,14.9,.473,7.2,9.2,.785,7.1,11.8,18.8,1.8,1.1,0.6,3.9,9.2,21.4,,111,107
1288,Greg Foster,Career,,,NBA,,656,95,7974,6.9,15.6,.440,0.1,0.6,.225,6.7,15.1,.448,2.8,3.7,.748,3.3,7.8,11.1,2.3,0.6,1.3,3.1,8.0,16.7,,96,107
1289,Jeff Foster,Career,,,NBA,,764,345,15750,4.9,9.8,.497,0.0,0.2,.130,4.9,9.6,.504,2.6,4.3,.615,7.0,10.4,17.4,2.3,1.7,1.0,2.0,6.4,12.4,,115,102
1290,Jimmy Foster,Career,,,ABA,,89,,1158,5.1,13.7,.373,0.0,0.5,.071,5.1,13.1,.385,2.5,3.8,.673,1.5,3.1,4.5,7.3,2.2,0.3,5.8,7.6,12.8,,80,107
1291,Rod Foster,Career,,,NBA,,207,35,3446,8.6,19.5,.440,1.0,3.3,.298,7.6,16.2,.469,3.1,4.0,.768,1.0,2.5,3.5,6.5,1.9,0.1,3.9,6.0,21.2,,98,110
1292,Antonis Fotsis,Career,,,NBA,,28,1,320,6.9,17.1,.404,1.2,3.8,.304,5.8,13.3,.432,2.8,3.3,.850,4.1,6.1,10.2,1.6,1.5,1.8,3.5,3.6,17.8,,93,107
1293,Evan Fournier,Career,,,NBA,,373,231,10148,8.6,19.1,.448,3.0,7.8,.381,5.6,11.3,.494,3.9,4.9,.804,0.8,4.1,4.9,4.2,1.5,0.2,2.9,4.3,24.0,,107,112
1297,Tremaine Fowlkes,Career,,,NBA,,103,27,1233,4.5,11.1,.409,0.2,0.9,.200,4.4,10.2,.426,3.8,4.8,.791,4.1,5.8,9.9,2.3,2.0,0.3,2.2,6.3,13.0,,105,105
1298,De'Aaron Fox,Career,,,NBA,,54,41,1487,8.1,19.6,.415,1.3,3.7,.343,6.9,16.0,.431,3.6,4.9,.736,0.8,3.9,4.7,7.9,1.9,0.5,4.4,4.1,21.1,,95,114
1301,Rick Fox,Career,,,NBA,,930,587,23723,7.3,16.2,.450,1.7,4.8,.349,5.6,11.4,.492,3.1,4.0,.770,2.1,5.4,7.6,5.7,2.1,0.8,3.5,5.9,19.3,,106,106
1302,Randy Foye,Career,,,NBA,,752,433,19279,7.2,18.0,.401,2.9,8.0,.366,4.3,9.9,.429,3.2,3.8,.852,0.7,3.8,4.5,5.6,1.4,0.6,2.9,4.2,20.6,,105,111
1303,Adonal Foyle,Career,,,NBA,,733,269,13060,5.2,10.9,.477,0.0,0.0,.000,5.2,10.8,.477,1.4,2.8,.499,5.1,8.5,13.6,1.3,1.0,4.7,2.3,6.2,11.7,,99,104
1304,Richie Frahm,Career,,,NBA,,140,2,1473,6.5,15.7,.411,3.4,9.7,.356,3.0,6.0,.500,1.9,2.3,.810,1.3,4.6,6.0,3.0,1.3,0.4,1.3,4.4,18.2,,113,110
1305,Steve Francis,Career,,,NBA,,576,543,21632,8.7,20.3,.429,1.4,4.1,.341,7.3,16.1,.451,6.8,8.6,.797,2.4,5.5,7.9,8.5,2.1,0.5,5.0,4.4,25.6,,106,105
1306,Tellis Frank,Career,,,NBA,,264,81,4703,6.5,14.9,.439,0.0,0.0,.000,6.5,14.8,.440,4.4,5.9,.741,3.7,6.7,10.4,2.8,1.6,1.0,3.3,8.1,17.4,,100,110
1308,Jamaal Franklin,Career,,,NBA,,24,0,174,5.2,12.5,.415,1.8,4.0,.462,3.4,8.6,.393,0.6,0.6,1.000,1.5,6.1,7.6,2.7,1.2,0.9,4.3,8.2,12.8,,85,106
1309,William Franklin,Career,,,ABA,,34,,274,7.4,18.0,.415,0.3,1.3,.250,7.4,17.8,.417,4.0,6.6,.601,8.6,10.1,18.6,2.5,1.0,0.8,3.9,8.9,18.8,,99,103
1311,Tim Frazier,Career,,,NBA,,176,51,3238,5.2,12.9,.404,1.2,3.7,.315,4.0,9.2,.439,2.8,3.8,.726,1.3,5.0,6.3,11.1,2.1,0.2,3.7,4.8,14.3,,104,109
1312,Walt Frazier,Career,,,NBA,,359,,13626,9.3,19.3,.490,0.0,1.7,.000,9.3,19.3,.490,4.2,5.1,.786,1.4,5.1,6.5,6.8,2.3,0.2,0.5,3.1,22.7,,104,98
1314,Anthony Frederick,Career,,,NBA,,147,29,1640,8.6,19.6,.439,0.2,0.6,.273,8.4,18.9,.445,3.8,5.5,.699,4.0,4.2,8.3,4.0,2.2,1.3,3.9,5.9,21.2,,97,110
1315,Jimmer Fredette,Career,,,NBA,,235,7,3148,8.4,20.4,.412,3.1,8.2,.381,5.3,12.2,.432,3.1,3.5,.876,0.8,3.0,3.8,5.3,1.5,0.2,3.5,3.5,23.0,,102,113
1316,World B. Free,Career,,,NBA,,886,345,26893,11.3,24.8,.456,0.5,1.6,.337,10.9,23.7,.461,8.2,10.9,.753,1.8,2.5,4.2,5.8,1.6,0.4,3.2,3.9,31.2,,110,109
1317,Joel Freeland,Career,,,NBA,,151,9,1821,5.9,12.8,.459,0.0,0.1,.000,5.9,12.7,.461,1.7,2.3,.728,5.3,9.2,14.6,1.8,0.9,1.6,2.1,7.2,13.4,,105,105
1318,Donnie Freeman,Career,,,TOT,,207,,5596,9.0,20.2,.456,0.1,0.8,.151,9.0,20.1,.459,5.2,6.4,.800,2.2,2.2,4.4,4.4,1.4,0.4,2.2,4.1,23.2,,107,106
1321,Matt Freije,Career,,,NBA,,42,11,588,4.9,16.8,.293,1.6,7.0,.224,3.3,9.7,.343,0.9,1.3,.714,2.2,5.6,7.9,2.5,1.5,0.3,1.9,4.9,12.3,,81,109
1326,Channing Frye,Career,,,NBA,,846,439,19292,7.6,17.3,.442,2.7,6.9,.388,5.0,10.4,.478,2.3,2.8,.823,2.0,8.4,10.5,2.2,1.2,1.4,2.1,5.9,20.3,,109,108
1327,Bernie Fryer,Career,,,TOT,,120,,2370,5.6,12.4,.447,0.0,0.2,.000,5.6,12.4,.447,3.0,3.9,.786,1.5,2.7,4.2,6.7,2.2,0.2,0.3,5.0,14.1,,92,104
1332,Hiram Fuller,Career,,,NBA,,4,0,43,3.7,9.8,.375,0.0,0.0,,3.7,9.8,.375,2.5,7.4,.333,4.9,8.6,13.5,2.5,0.0,1.2,4.9,6.1,9.8,,73,108
1333,Todd Fuller,Career,,,NBA,,225,23,2500,6.7,15.9,.422,0.0,0.1,.000,6.7,15.8,.424,4.2,6.3,.668,5.1,9.2,14.2,1.0,0.7,1.3,3.1,7.4,17.6,,96,106
1334,Tony Fuller,Career,,,NBA,,15,,248,4.6,12.6,.364,0.0,0.2,.000,4.6,12.4,.369,2.3,3.1,.750,2.5,5.5,8.0,5.4,1.9,0.2,4.4,4.8,11.5,,82,105
1335,Markelle Fultz,Career,,,NBA,,4,0,76,5.7,17.2,.333,0.0,0.0,,5.7,17.2,.333,3.8,7.7,.500,1.9,3.8,5.7,4.5,1.3,0.6,3.8,3.8,15.3,,79,109
1336,Lawrence Funderburke,Career,,,NBA,,318,7,4726,8.6,17.1,.506,0.0,0.2,.118,8.6,16.9,.510,4.3,6.4,.675,4.8,7.4,12.2,1.9,1.0,1.1,2.4,3.8,21.6,,110,104
1337,Terry Furlow,Career,,,NBA,,239,,4809,10.3,22.5,.459,0.6,1.9,.293,10.1,21.7,.466,4.3,5.0,.862,2.1,2.9,5.0,5.6,1.6,0.7,3.7,2.9,25.2,,103,108
1339,Dan Gadzuric,Career,,,NBA,,527,164,7793,7.1,14.1,.500,0.0,0.1,.000,7.1,14.1,.501,2.5,5.0,.498,6.1,9.5,15.7,1.3,1.6,3.0,2.4,8.4,16.6,,105,104
1340,Deng Gai,Career,,,NBA,,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117
1343,Corey Gaines,Career,,,NBA,,80,10,1002,4.4,10.4,.424,0.5,2.3,.229,3.9,8.1,.479,2.5,3.5,.736,0.6,2.7,3.3,11.9,1.9,0.2,3.5,4.7,11.9,,106,113
1345,Reece Gaines,Career,,,NBA,,71,1,605,4.2,13.0,.324,0.6,2.3,.269,3.6,10.7,.336,1.8,2.9,.606,0.8,3.9,4.6,4.4,1.5,0.3,2.3,3.5,10.8,,82,111
1346,Sundiata Gaines,Career,,,NBA,,113,12,1311,7.3,18.4,.397,1.8,5.9,.301,5.5,12.5,.442,4.0,7.1,.562,1.8,5.2,7.0,8.3,3.3,0.1,3.7,4.0,20.4,,99,107
1347,Mike Gale,Career,,,TOT,,683,70,17090,5.8,12.4,.464,0.1,0.4,.187,5.7,12.2,.469,2.0,2.5,.781,1.3,3.8,5.1,7.1,3.2,0.9,2.8,4.0,13.6,,100,102
1348,Chad Gallagher,Career,,,NBA,,2,0,3,51.5,51.5,1.000,0.0,0.0,,51.5,51.5,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,103.1,,200,111
1350,Danilo Gallinari,Career,,,NBA,,479,409,14937,7.4,17.8,.419,2.9,8.0,.367,4.5,9.8,.462,6.9,8.0,.865,1.2,6.3,7.5,3.1,1.3,0.7,2.1,3.0,24.7,,117,111
1351,Langston Galloway,Career,,,NBA,,251,52,5725,6.7,17.2,.389,2.9,8.0,.363,3.8,9.2,.412,2.0,2.6,.783,1.1,5.3,6.3,4.5,1.8,0.4,1.6,3.9,18.3,,103,110
1353,Kevin Gamble,Career,,,NBA,,649,270,14508,8.9,17.7,.502,0.8,2.2,.360,8.1,15.5,.522,2.8,3.4,.810,1.3,3.8,5.1,4.5,1.6,0.6,2.0,4.3,21.3,,114,110
1355,Jorge Garbajosa,Career,,,NBA,,74,60,1983,6.0,14.5,.415,1.9,5.5,.344,4.1,9.0,.458,1.5,2.0,.731,1.3,7.7,9.0,3.3,2.1,0.4,1.7,2.4,15.4,,101,105
1356,Ruben Garces,Career,,,NBA,,13,0,73,4.9,15.5,.318,0.0,0.0,,4.9,15.5,.318,1.4,5.6,.250,11.3,9.2,20.4,3.5,2.1,1.4,3.5,9.9,11.3,,82,97
1357,Alex Garcia,Career,,,NBA,,10,3,159,6.5,20.3,.322,1.7,6.2,.278,4.8,14.1,.341,1.4,2.1,.667,2.4,2.8,5.2,6.2,2.1,0.3,3.1,5.2,16.2,,85,109
1358,Francisco Garcia,Career,,,NBA,,549,137,11853,6.7,15.7,.427,2.5,7.0,.357,4.2,8.7,.484,2.6,3.3,.799,1.2,4.8,6.0,3.2,1.9,1.7,2.3,5.3,18.5,,106,109
1361,Kenneth Gardner,Career,,,ABA,,9,,51,5.5,16.4,.333,0.0,0.0,,5.5,16.4,.333,1.8,1.8,1.000,7.3,4.5,11.8,2.7,1.8,0.9,0.9,8.2,12.7,,104,110
1362,Thomas Gardner,Career,,,NBA,,20,0,143,6.7,21.8,.305,2.6,13.0,.200,4.1,8.9,.458,0.7,2.2,.333,1.1,3.0,4.1,1.1,1.5,0.4,2.6,3.0,16.7,,73,111
1365,Patricio Garino,Career,,,NBA,,5,0,43,0.0,8.1,.000,0.0,5.8,.000,0.0,2.3,.000,0.0,0.0,,1.2,6.9,8.1,0.0,0.0,0.0,3.5,4.6,0.0,,8,115
1366,Gary Garland,Career,,,NBA,,78,,1106,6.5,14.9,.435,0.3,0.8,.316,6.2,14.1,.442,0.8,1.1,.692,2.1,3.7,5.8,6.1,2.3,0.2,3.0,3.3,13.9,,95,109
1367,Winston Garland,Career,,,NBA,,511,315,13391,6.8,15.9,.430,0.3,0.9,.281,6.6,15.0,.440,3.2,3.9,.830,1.5,3.7,5.1,8.7,2.4,0.3,3.5,4.5,17.2,,102,110
1370,Chris Garner,Career,,,NBA,,46,0,442,3.5,12.5,.280,0.5,2.4,.190,3.0,10.0,.302,0.9,1.5,.615,1.0,3.1,4.2,7.3,3.3,0.6,4.0,7.9,8.4,,73,110
1371,Bill Garnett,Career,,,NBA,,300,62,5260,5.1,10.5,.490,0.0,0.1,.000,5.1,10.4,.494,4.4,6.2,.720,4.2,7.4,11.6,3.5,1.4,1.6,3.0,7.5,14.7,,110,107
1372,Kevin Garnett,Career,,,NBA,,1462,1425,50418,11.0,22.1,.497,0.2,0.7,.275,10.8,21.5,.504,5.1,6.5,.789,3.4,12.0,15.3,5.7,1.9,2.1,3.3,3.7,27.3,,110,99
1373,Marlon Garnett,Career,,,NBA,,24,0,205,3.8,13.1,.294,1.5,5.9,.261,2.3,7.2,.321,3.8,5.1,.750,0.8,4.6,5.4,4.6,1.3,0.3,3.1,4.6,13.1,,89,106
1374,Calvin Garrett,Career,,,NBA,,166,22,3008,6.0,13.1,.457,0.1,0.3,.300,5.9,12.8,.461,1.6,2.1,.767,2.2,4.7,6.9,3.9,1.5,0.3,2.6,5.2,13.6,,100,109
1375,Dean Garrett,Career,,,NBA,,359,210,6969,5.5,11.4,.480,0.0,0.0,,5.5,11.4,.480,2.2,3.3,.677,4.5,9.2,13.8,1.6,1.3,2.8,1.5,5.2,13.2,,109,105
1376,Diante Garrett,Career,,,NBA,,90,0,1197,5.1,13.7,.373,1.7,4.9,.351,3.4,8.9,.384,0.7,1.0,.682,0.7,4.2,4.9,6.6,2.2,0.2,4.0,3.5,12.6,,86,112
1379,Tom Garrick,Career,,,NBA,,251,47,4718,5.5,11.7,.469,0.1,0.6,.083,5.4,11.1,.490,2.7,3.5,.775,1.2,3.8,5.1,8.6,2.7,0.2,3.5,4.5,13.7,,103,109
1380,John Garris,Career,,,NBA,,33,1,267,9.6,18.8,.510,0.0,0.0,,9.6,18.8,.510,5.0,6.3,.794,6.5,7.8,14.2,1.8,1.5,1.1,2.0,7.4,24.2,,119,107
1381,Kiwane Garris,Career,,,NBA,,31,0,248,5.1,16.1,.320,1.1,3.2,.333,4.1,12.8,.317,4.1,5.4,.760,0.6,3.6,4.3,6.4,1.5,0.2,3.4,4.7,15.4,,89,114
1382,Pat Garrity,Career,,,NBA,,552,107,11062,6.9,16.5,.417,2.9,7.4,.398,3.9,9.1,.434,2.0,2.5,.806,1.6,5.2,6.8,2.1,1.1,0.5,1.9,5.9,18.7,,106,107
1384,Marc Gasol,Career,,,NBA,,702,695,23723,8.8,18.0,.487,0.4,1.3,.339,8.3,16.7,.499,5.6,7.1,.779,2.8,9.2,11.9,5.1,1.4,2.3,3.2,4.6,23.5,,111,104
1385,Pau Gasol,Career,,,NBA,,1177,1136,40275,10.1,20.0,.508,0.2,0.6,.375,9.9,19.4,.512,6.0,8.0,.754,3.9,10.3,14.2,4.9,0.8,2.5,3.4,3.3,26.6,,113,104
1387,Chris Gatling,Career,,,NBA,,700,86,13760,10.4,20.3,.513,0.2,0.7,.249,10.2,19.5,.523,5.8,8.8,.660,4.6,9.2,13.9,1.7,1.7,1.4,4.0,6.9,26.8,,105,104
1388,Kenny Gattison,Career,,,NBA,,494,130,9927,7.5,14.5,.520,0.0,0.1,.083,7.5,14.4,.521,4.2,6.4,.649,3.6,7.8,11.4,2.2,1.4,1.6,2.9,6.9,19.2,,106,108
1389,Rudy Gay,Career,,,NBA,,790,720,27644,10.0,22.2,.453,1.5,4.4,.344,8.5,17.8,.480,4.9,6.2,.795,2.2,6.5,8.6,3.3,1.9,1.2,3.5,3.6,26.5,,104,107
1391,Andrew Gaze,Career,,,NBA,,26,0,128,6.5,17.0,.381,3.6,9.7,.375,2.8,7.3,.389,0.8,0.8,1.000,1.2,3.6,4.9,4.5,1.6,0.8,2.8,6.5,17.4,,100,107
1392,Michael Gbinije,Career,,,NBA,,9,0,32,1.6,15.8,.100,0.0,6.3,.000,1.6,9.5,.167,3.2,3.2,1.000,3.2,1.6,4.7,3.2,0.0,0.0,0.0,3.2,6.3,,64,114
1393,Reggie Geary,Career,,,NBA,,101,2,931,4.6,13.5,.344,1.2,3.6,.328,3.4,9.8,.349,2.0,4.0,.493,1.4,3.5,4.9,6.5,3.0,0.8,3.4,7.8,12.4,,87,100
1394,Alonzo Gee,Career,,,NBA,,417,213,9071,5.7,13.1,.434,1.1,3.2,.325,4.6,9.8,.469,3.2,4.3,.754,2.2,5.5,7.7,2.5,2.1,0.6,2.5,4.5,15.6,,102,109
1395,Matt Geiger,Career,,,NBA,,552,214,12221,8.8,17.6,.499,0.1,0.3,.232,8.7,17.3,.504,4.2,5.7,.728,5.0,8.6,13.6,1.7,1.3,1.5,3.2,7.0,21.8,,107,105
1396,Mickael Gelabale,Career,,,NBA,,145,27,2348,5.8,12.3,.470,0.9,3.0,.316,4.8,9.3,.519,2.2,2.7,.815,2.4,4.9,7.3,2.5,1.1,0.8,2.0,4.1,14.7,,108,111
