,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
92,Michael Anderson,Career,,,NBA,,36,12,730,4.6,11.0,.417,0.1,0.4,.143,4.5,10.6,.429,3.6,5.2,.695,2.8,2.8,5.6,9.7,2.8,0.2,5.3,4.0,12.9,,93,109
93,Nick Anderson,Career,,,NBA,,800,636,24922,9.0,20.1,.446,2.1,6.0,.356,6.8,14.1,.485,3.3,5.0,.667,2.1,6.2,8.2,4.2,2.3,0.7,2.8,3.0,23.4,,107,106
94,Richard Anderson,Career,,,NBA,,407,30,6002,7.0,16.9,.412,1.1,3.4,.333,5.8,13.5,.432,2.3,3.0,.762,3.5,7.4,10.9,4.7,1.7,0.7,2.8,5.3,17.3,,102,108
95,Ron Anderson,Career,,,NBA,,664,79,15112,9.6,20.4,.471,0.3,1.2,.287,9.2,19.2,.482,3.5,4.3,.814,2.8,4.8,7.5,3.1,1.5,0.3,2.4,3.3,23.0,,107,111
96,Ryan Anderson,Career,,,NBA,,613,281,16278,8.6,20.3,.423,4.1,10.8,.381,4.5,9.5,.471,3.6,4.2,.856,3.9,6.7,10.5,1.8,1.0,0.7,1.9,3.9,25.0,,115,109
97,Shandon Anderson,Career,,,NBA,,719,226,15946,6.6,14.5,.457,1.0,3.2,.316,5.6,11.3,.498,3.4,4.6,.739,1.9,5.5,7.5,3.3,1.8,0.6,3.2,4.8,17.7,,101,105
98,Willie Anderson,Career,,,NBA,,555,432,15974,8.7,18.5,.471,0.3,1.2,.266,8.4,17.3,.485,3.3,4.2,.786,1.7,4.8,6.5,6.5,1.8,1.1,3.6,4.7,21.0,,104,107
100,Martynas Andriuskevicius,Career,,,NBA,,6,0,9,0.0,5.9,.000,0.0,0.0,,0.0,5.9,.000,0.0,0.0,,5.9,17.8,23.8,0.0,11.9,0.0,0.0,5.9,0.0,,64,78
102,Ike Anigbogu,Career,,,NBA,,10,0,28,7.1,16.0,.444,0.0,0.0,,7.1,16.0,.444,8.9,10.6,.833,8.9,7.1,16.0,0.0,1.8,5.3,3.5,1.8,23.1,,114,103
103,Michael Ansley,Career,,,NBA,,149,6,2143,8.4,16.4,.513,0.0,0.0,,8.4,16.4,.513,5.7,7.9,.722,6.8,6.8,13.6,1.5,1.1,0.5,1.9,6.2,22.5,,122,113
104,Chris Anstey,Career,,,NBA,,155,23,2157,7.5,18.2,.413,0.1,0.7,.138,7.4,17.5,.424,5.0,6.7,.755,4.4,8.9,13.3,3.2,1.9,1.6,3.7,9.3,20.2,,96,103
105,Giannis Antetokounmpo,Career,,,NBA,,376,311,12265,9.6,19.0,.505,0.6,2.3,.281,8.9,16.7,.536,6.5,8.7,.744,2.3,9.3,11.6,5.9,1.8,2.0,3.8,4.6,26.3,,111,105
106,Thanasis Antetokounmpo,Career,,,NBA,,2,0,6,25.7,34.3,.750,0.0,8.6,.000,25.7,25.7,1.000,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,,140,110
107,Carmelo Anthony,Career,,,NBA,,1037,1037,37307,12.3,27.3,.450,1.8,5.1,.346,10.5,22.2,.473,8.0,9.9,.812,2.4,6.8,9.3,4.3,1.5,0.7,3.8,4.1,34.4,,108,108
108,Greg Anthony,Career,,,NBA,,757,227,15850,6.4,15.8,.403,2.0,5.8,.349,4.3,10.0,.434,3.5,4.8,.733,0.9,3.8,4.7,10.0,2.9,0.3,3.5,4.4,18.3,,106,104
109,Joel Anthony,Career,,,NBA,,490,110,7056,3.0,5.8,.513,0.0,0.0,,3.0,5.8,.513,2.0,3.0,.662,4.2,5.9,10.1,0.7,1.0,4.0,1.7,6.1,8.0,,112,103
110,Pero Antic,Career,,,NBA,,113,29,1962,6.0,15.3,.392,2.8,8.9,.314,3.2,6.4,.500,3.6,4.9,.730,3.0,7.3,10.3,2.8,1.0,0.7,2.7,6.7,18.4,,103,107
111,OG Anunoby,Career,,,NBA,,60,48,1228,5.2,11.5,.453,2.4,6.7,.353,2.8,4.8,.592,1.4,2.0,.686,1.4,4.4,5.8,1.9,1.9,0.4,1.4,4.1,14.1,,112,107
112,Keith Appling,Career,,,NBA,,5,0,27,3.7,14.8,.250,0.0,5.6,.000,3.7,9.3,.400,3.7,3.7,1.000,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,,57,110
113,Rafael Araujo,Career,,,NBA,,139,75,1585,5.1,12.7,.405,0.0,0.1,.250,5.1,12.6,.407,2.5,3.7,.679,4.1,8.9,13.0,1.4,1.7,0.5,3.7,9.9,12.8,,87,108
115,Robert Archibald,Career,,,NBA,,44,3,328,2.5,8.8,.283,0.0,0.0,,2.5,8.8,.283,3.5,8.1,.429,4.5,7.0,11.4,2.7,2.3,1.0,2.8,9.8,8.5,,78,101
116,Tiny Archibald,Career,,,NBA,,638,268,21339,7.9,17.2,.467,0.1,0.4,.224,7.9,17.0,.469,6.5,8.1,.810,0.7,2.2,3.0,9.6,1.6,0.2,2.4,3.0,22.4,,109,105
117,Ryan Arcidiacono,Career,,,NBA,,13,0,120,2.0,4.9,.417,1.2,4.1,.300,0.8,0.8,1.000,0.8,0.8,1.000,0.0,2.9,2.9,5.3,2.0,0.0,1.2,4.1,6.1,,118,112
118,Jim Ard,Career,,,TOT,,245,,3168,5.3,14.3,.402,0.4,1.6,.235,5.2,14.3,.404,3.0,4.3,.662,4.1,9.9,14.1,2.7,0.8,1.7,0.8,6.1,13.6,,93,97
119,Gilbert Arenas,Career,,,NBA,,552,455,19351,9.9,23.6,.421,2.9,8.2,.351,7.0,15.4,.458,7.7,9.6,.803,1.2,4.6,5.8,7.8,2.4,0.4,4.7,4.5,30.4,,109,109
120,Trevor Ariza,Career,,,NBA,,923,622,27202,6.6,15.4,.426,2.4,6.7,.354,4.2,8.7,.481,2.7,3.8,.722,1.8,6.5,8.3,3.6,2.6,0.5,2.4,3.5,18.2,,106,105
122,Joe Arlauckas,Career,,,NBA,,9,0,85,7.8,24.1,.326,0.0,0.0,,7.8,24.1,.326,3.4,4.5,.750,3.4,3.9,7.3,4.5,1.7,2.2,2.2,9.0,19.0,,88,112
123,B.J. Armstrong,Career,,,NBA,,747,341,17790,8.3,17.4,.477,1.3,3.0,.425,7.0,14.4,.487,3.4,4.0,.856,0.6,3.3,3.8,7.2,1.5,0.1,2.6,3.3,21.3,,115,110
125,Brandon Armstrong,Career,,,NBA,,108,0,699,7.7,21.8,.352,1.9,5.7,.333,5.8,16.1,.358,0.9,1.5,.600,1.7,3.1,4.8,1.8,1.7,0.3,2.8,6.3,18.2,,80,102
127,Darrell Armstrong,Career,,,NBA,,840,337,19915,7.0,17.1,.409,2.4,7.2,.334,4.6,9.8,.465,3.8,4.4,.871,1.7,4.2,6.0,8.9,3.0,0.3,4.1,3.7,20.2,,107,104
128,Hilton Armstrong,Career,,,NBA,,292,40,3378,5.5,10.9,.501,0.0,0.1,.286,5.4,10.8,.503,2.9,5.0,.582,4.6,7.5,12.1,1.6,1.4,2.2,3.6,8.6,13.9,,98,106
132,Bob Arnzen,Career,,,TOT,,20,,149,7.5,15.0,.465,0.3,1.6,.200,7.2,14.7,.468,2.2,2.8,.800,3.1,3.1,6.3,0.9,0.9,0.6,2.5,3.4,17.5,,105,105
133,Carlos Arroyo,Career,,,NBA,,569,191,10651,7.2,16.5,.438,0.7,2.0,.338,6.5,14.5,.452,3.9,4.8,.806,1.1,3.8,4.9,8.9,1.5,0.1,3.4,4.4,19.1,,106,108
134,Darrell Arthur,Career,,,NBA,,500,106,8933,7.9,17.8,.444,0.9,2.6,.350,7.0,15.2,.460,2.1,2.7,.765,3.1,7.0,10.1,2.3,1.8,1.8,2.4,7.1,18.8,,101,106
136,Jamel Artis,Career,,,NBA,,5,0,55,3.5,15.1,.235,0.0,4.4,.000,3.5,10.6,.333,0.9,2.7,.333,0.9,5.3,6.2,3.5,0.0,0.0,0.0,0.0,8.0,,68,117
137,Omer Asik,Career,,,NBA,,467,262,9155,5.3,10.0,.528,0.0,0.0,.000,5.3,10.0,.529,3.3,5.9,.551,5.8,12.9,18.7,1.6,0.9,1.9,3.0,5.1,13.8,,107,103
138,Vincent Askew,Career,,,NBA,,467,27,9361,6.5,13.6,.479,0.4,1.4,.300,6.1,12.2,.499,4.3,5.7,.754,2.1,4.2,6.3,5.4,1.6,0.6,2.7,5.2,17.7,,113,108
139,Keith Askins,Career,,,NBA,,486,80,7983,4.4,11.1,.401,1.8,5.1,.355,2.6,6.0,.440,1.5,2.0,.717,3.4,5.9,9.4,2.5,1.8,1.1,2.1,7.2,12.2,,106,105
142,Chucky Atkins,Career,,,NBA,,696,325,17304,7.5,18.2,.412,2.8,7.8,.364,4.7,10.5,.447,2.9,3.8,.772,0.6,3.0,3.6,7.2,1.4,0.1,3.1,3.9,20.7,,106,109
